DateSpID        Species Length  Sage1   Sage2   Sage3   Woto1   Woto2   Woto3   Soto1   Soto2   Soto3   Scmode  Wotomode        Sotomode
50497_14_2      SPB     116     0       0       0       1       0       1       0       0       0       0       1       0
50497_14_4      SPB     205     2       1       1       2       1       1       0       0       0       1       1       0
50497_14_6      SPB     211     1       1       1       1       1       1       0       1       1       1       1       1
50997_3_1       SPB     210     2       1       1       2       2       2       2       1       1       1       2       1
50997_5_1       SPB     184     2       1       2       3       1       3       2       1       1       2       3       1
50997_5_2       SPB     199     3       1       2       1       1       1       2       2       2       .       1       2
50997_6_2       SPB     179     1       1       2       2       1       2       2       2       1       1       2       2
50997_6_3       SPB     368     8       6       5       4       4       4       6       5       5       .       4       5
51097_1_3       SPB     220     2       1       2       1       1       1       1       1       1       2       1       1
51097_2_1       SPB     278     2       2       2       3       2       3       2       2       2       2       3       2
51097_2_2       SPB     280     3       2       3       3       1       2       3       2       2       3       .       2
51097_2_3       SPB     180     1       1       1       3       1       2       2       1       1       1       .       1
51097_3_2       SPB     367     6       4       6       5       4       4       5       5       5       6       4       5
51097_3_3       SPB     319     6       3       5       3       3       3       4       3       3       .       3       3
51097_4_2       SPB     300     5       2       3       3       1       3       3       2       2       .       3       2
51497_1_6       SPB     305     3       3       3       3       2       3       3       3       2       3       3       3
51497_1_8       SPB     235     1       1       1       2       1       2       2       1       1       1       2       1
51497_1_9       SPB     260     3       2       3       2       2       2       2       2       2       3       2       2
51497_2_3       SPB     134     1       0       1       2       1       2       1       1       0       1       2       1
51497_2_4       SPB     319     3       3       3       4       4       4       4       4       4       3       4       4
51497_2_5       SPB     241     1       1       1       2       1       2       2       1       1       1       2       1
51497_3_1       SPB     87      0       0       0       0       0       0       0       0       0       0       0       0
51497_3_2       SPB     115     .       .       .       1       0       1       0       0       0       .       1       0
51497_3_3       SPB     124     1       0       1       1       0       1       0       0       1       1       1       0
51497_5_1       SPB     96      .       .       .       0       0       0       0       0       1       .       0       0
51497_5_2       SPB     350     4       4       5       3       3       3       4       4       4       4       3       4
51497_5_4       SPB     99      0       0       1       0       0       0       0       0       0       0       0       0
51497_5_6       SPB     97      0       0       0       0       0       0       0       0       0       0       0       0
51497_5_8       SPB     108     1       0       0       0       0       0       0       0       0       0       0       0
52097_1_2       SPB     211     2       2       2       2       1       2       2       2       1       2       2       2
52097_1_2       SPB     211     2       1       2       2       1       2       2       2       1       2       2       2
52097_1_4       SPB     298     4       2       3       2       2       2       2       2       2       .       2       2
52097_3_2       SPB     158     2       1       2       3       1       3       2       2       1       2       3       2
52097_3_3       SPB     227     2       1       1       1       1       1       1       1       1       1       1       1
52097_3_3       SPB     227     4       4       4       1       1       1       1       1       1       4       1       1
52097_3_8       SPB     370     .       .       .       5       4       5       6       5       5       .       5       5
52097_4_1       SPB     335     6       4       3       3       3       3       4       4       3       .       3       4
52097_4_1       SPB     335     3       1       2       3       3       3       4       4       3       .       3       4
