ID,length,Betsy_1,Lee_1,Alex_1,Betsy_2,Lee_2,Alex_2,Betsy_3,Lee_3,Alex_3,FinalAge,Sex
170,108,3,1,2,1,1,1,1,1,1,1,F
171,87,2,0,2,1,0,1,0,0,1,1,F
172,76,1,0,2,0,0,0,0,0,0,0,UK
174,100,2,0,2,1,0,1,0,0,0,0,M
175,65,1,0,0,0,0,0,0,0,0,0,UK
176,51,0,0,0,0,0,0,0,0,0,0,UK
177,55,0,0,0,0,0,0,0,0,0,0,UK
179,60,1,0,0,0,0,0,0,0,0,0,UK
180,69,1,0,0,0,0,0,0,0,0,0,UK
182,58,0,0,0,0,0,0,0,0,0,0,UK
183,54,0,0,0,0,0,0,0,0,0,0,UK
185,51,0,0,0,0,0,0,0,0,0,0,UK
186,58,1,0,0,0,0,0,0,0,0,0,UK
187,53,0,0,0,0,0,0,0,0,0,0,UK
188,61,0,0,0,0,0,0,0,0,0,0,UK
189,60,0,0,0,0,0,0,0,0,0,0,UK
190,62,1,0,0,0,0,0,0,0,0,0,UK
191,62,0,0,0,0,0,0,0,0,0,0,UK
192,61,0,0,0,0,0,0,0,0,0,0,UK
193,148,4,3,2,2,2,3,2,2,3,3,M
194,170,5,2,4,1,2,2,2,3,3,2,F
196,56,1,0,0,0,0,0,0,0,0,0,UK
197,171,6,4,3,3,3,3,3,3,3,3,F
198,59,0,0,0,0,0,0,0,0,0,0,UK
201,54,0,0,0,0,0,0,0,0,0,0,UK
203,46,0,0,0,0,0,0,0,0,0,0,UK
204,170,4,4,4,3,3,4,3,3,3,3,M
205,193,6,3,4,5,3,7,4,4,7,4,F
209,172,5,2,3,3,3,4,3,3,4,3,F
211,173,4,3,3,3,3,3,3,3,3,3,M
212,176,4,4,4,3,3,3,2,2,3,3,F
213,171,5,4,3,3,3,3,3,3,4,3,M
214,170,6,3,3,4,3,3,2,3,3,3,M
215,171,6,4,4,4,3,3,3,4,3,4,F
216,172,5,4,4,4,3,4,3,4,4,3,F
217,174,8,3,3,2,3,2,2,3,3,2,M
218,171,5,3,4,3,3,4,3,3,4,3,F
219,177,4,3,3,2,3,3,2,3,3,3,M
222,61,1,0,1,0,0,0,0,0,0,0,UK
223,49,1,0,0,0,0,0,0,0,0,0,UK
225,49,0,0,0,0,0,0,0,0,0,0,UK
226,49,2,0,0,0,0,0,0,0,0,0,UK
227,53,1,0,0,0,0,0,0,0,0,0,UK
228,58,1,0,0,0,0,0,0,0,0,0,UK
229,58,0,0,0,0,0,0,0,0,0,0,UK
230,51,2,0,0,0,0,0,0,0,0,0,UK
231,60,0,0,0,0,0,0,0,0,0,0,UK
232,44,1,0,0,0,0,0,0,0,0,0,UK
234,61,0,0,0,0,0,0,0,0,1,0,UK
235,98,3,0,1,0,0,1,0,0,0,0,F
236,74,0,0,0,0,0,0,0,0,0,0,UK
237,72,1,0,1,0,0,1,0,0,0,0,UK
238,71,1,0,0,0,0,0,0,0,0,0,UK
239,66,0,0,1,0,0,0,0,0,2,0,UK
240,61,2,0,2,0,0,2,0,0,0,0,UK
241,73,0,0,1,0,0,0,0,0,0,0,UK
242,78,0,0,2,0,0,0,0,0,0,0,UK
243,70,1,0,1,0,0,1,0,0,0,0,UK
