id,reader1,reader2
1,15,15
2,15,17.5
3,19,19
4,9,12.5
5,19,20
6,19,16
7,19,18
8,18,18
9,8,8
10,19,17.5
11,6,4
12,5,7.5
13,7,6
14,20,22
15,8,11.5
16,12,13
17,10,13.5
18,11,13
19,13,16
20,9,10
21,8,10
22,9,6
23,4,4
24,14,16.5
25,16,19.5
26,15,13
27,18,21
28,23,22
29,8,10
30,20,19
31,19,19
32,19,17
33,25,27
34,19,17
35,19,17
36,11,11
37,18,15
38,17,14
39,6,5
40,8,5
