read1,read2,structure,species
3,3,Fin Rays,River Carpsucker
3,3,Fin Rays,River Carpsucker
3,3,Fin Rays,River Carpsucker
3,3,Fin Rays,River Carpsucker
3,3,Fin Rays,River Carpsucker
4,3,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,4,Fin Rays,River Carpsucker
4,5,Fin Rays,River Carpsucker
4,5,Fin Rays,River Carpsucker
5,4,Fin Rays,River Carpsucker
5,4,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,5,Fin Rays,River Carpsucker
5,6,Fin Rays,River Carpsucker
5,6,Fin Rays,River Carpsucker
5,6,Fin Rays,River Carpsucker
5,6,Fin Rays,River Carpsucker
5,6,Fin Rays,River Carpsucker
5,6,Fin Rays,River Carpsucker
6,5,Fin Rays,River Carpsucker
6,5,Fin Rays,River Carpsucker
6,5,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,6,Fin Rays,River Carpsucker
6,7,Fin Rays,River Carpsucker
6,8,Fin Rays,River Carpsucker
6,9,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,6,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
7,7,Fin Rays,River Carpsucker
8,6,Fin Rays,River Carpsucker
8,7,Fin Rays,River Carpsucker
8,7,Fin Rays,River Carpsucker
8,7,Fin Rays,River Carpsucker
8,7,Fin Rays,River Carpsucker
8,7,Fin Rays,River Carpsucker
8,7,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
8,8,Fin Rays,River Carpsucker
9,8,Fin Rays,River Carpsucker
9,8,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
9,9,Fin Rays,River Carpsucker
