id,loc,growth,tl,sex,otoliths_R1,otoliths_R2,spines_R1,spines_R2
3472,Sturgeon Bay,mod,518,M,7,7,7,6
3553,Sturgeon Bay,mod,541,M,7,6,6,6
3558,Sturgeon Bay,mod,563,M,7,6,6,6
3477,Sturgeon Bay,fast,609,M,8,8,8,8
3459,Sturgeon Bay,mod,571,M,9,9,9,8
3467,Sturgeon Bay,mod,572,M,9,10,8,8
3581,Sturgeon Bay,slow,490,M,10,10,9,9
3514,Sturgeon Bay,slow,536,M,10,10,8,8
3582,Sturgeon Bay,slow,541,M,10,10,9,9
3527,Sturgeon Bay,slow,573,M,10,10,9,9
3507,Sturgeon Bay,mod,583,M,10,10,10,10
3569,Sturgeon Bay,mod,590,M,10,10,10,10
3543,Sturgeon Bay,mod,592,M,10,10,10,9
3551,Sturgeon Bay,mod,601,M,10,10,8,9
3473,Sturgeon Bay,mod,603,M,10,10,9,9
3567,Sturgeon Bay,mod,612,M,10,10,8,8
3544,Sturgeon Bay,mod,619,M,10,10,7,7
3563,Sturgeon Bay,fast,646,M,10,10,10,10
3433,Sturgeon Bay,fast,664,M,10,10,9,9
3545,Sturgeon Bay,mod,632,M,13,13,10,10
3506,Sturgeon Bay,mod,658,M,15,15,13,13
3434,Sturgeon Bay,mod,656,M,17,17,11,12
3413,Sturgeon Bay,mod,622,M,18,17,16,16
3499,Sturgeon Bay,mod,693,M,19,19,16,16
3546,Sturgeon Bay,mod,628,M,22,21,15,15
11485,Tenderfoot,slow,445,F,8,7,7,7
11488,Tenderfoot,fast,668,F,10,9,9,9
12963,Trout,fast,465,F,4,4,5,6
12965,Trout,slow,538,F,9,9,11,11
12959,Trout,mod,607,F,9,9,9,9
12958,Trout,fast,645,F,10,10,9,8
12954,Trout,slow,338,M,3,3,3,2
12964,Trout,mod,361,M,3,3,3,4
12961,Trout,slow,371,M,4,4,4,4
12956,Trout,slow,419,M,6,6,5,4
12953,Trout,slow,457,M,6,7,6,5
12966,Trout,slow,406,M,6,7,5,5
12960,Trout,slow,437,M,10,10,11,10
11970,Turtle Flambeau Flowage,slow,478,F,7,7,6,5
11912,Turtle Flambeau Flowage,mod,584,F,10,10,12,10
11966,Turtle Flambeau Flowage,slow,312,M,3,2,3,4
11965,Turtle Flambeau Flowage,mod,378,M,3,3,3,3
11967,Turtle Flambeau Flowage,mod,384,M,3,3,3,4
11964,Turtle Flambeau Flowage,slow,356,M,4,4,4,4
11968,Turtle Flambeau Flowage,slow,386,M,6,6,6,6
11969,Turtle Flambeau Flowage,slow,409,M,6,6,7,6
11972,Turtle Flambeau Flowage,slow,465,M,10,10,10,10
11697,Twin Chain,fast,569,F,5,5,6,6
11692,Twin Chain,slow,500,F,9,9,8,8
11694,Twin Chain,fast,617,F,9,10,9,9
11698,Twin Chain,slow,378,M,4,4,4,4
11496,Twin Chain,mod,419,M,4,4,11,9
11498,Twin Chain,slow,323,M,4,4,5,4
11696,Twin Chain,slow,465,M,8,9,9,9
11695,Twin Chain,slow,536,M,9,9,9,9
11700,Twin Chain,slow,373,M,9,8,9,8
11699,Twin Chain,slow,432,M,9,9,9,10
66,Wausau,mod,226,unk,1,2,3,3
53,Wausau,mod,236,unk,1,2,4,3
72,Wausau,mod,241,unk,1,1,1,2
37,Wausau,fast,279,unk,1,1,1,3
8,Wausau,mod,340,unk,3,3,6,4
30,Wausau,mod,345,unk,3,3,3,3
51,Wausau,mod,366,unk,3,3,3,4
26,Wausau,mod,368,unk,3,4,6,6
52,Wausau,mod,384,unk,3,4,3,3
43,Wausau,mod,366,unk,3,4,5,5
40,Wausau,slow,269,unk,4,4,2,4
44,Wausau,slow,300,unk,4,4,5,4
54,Wausau,slow,378,unk,4,4,5,4
68,Wausau,mod,419,unk,4,4,4,5
39,Wausau,slow,300,unk,4,4,5,4
29,Wausau,slow,333,unk,4,3,4,4
3,Wausau,slow,399,unk,5,4,5,4
21,Wausau,slow,406,unk,5,6,7,6
9,Wausau,mod,437,unk,5,5,4,5
18,Wausau,mod,455,unk,5,5,5,6
14,Wausau,slow,356,unk,5,5,5,6
41,Wausau,fast,488,unk,5,5,4,5
5,Wausau,slow,427,unk,6,6,7,6
13,Wausau,slow,432,unk,6,6,5,6
71,Wausau,mod,467,unk,6,7,7,6
62,Wausau,mod,472,unk,6,7,5,7
11,Wausau,slow,320,unk,6,6,5,6
34,Wausau,slow,323,unk,6,6,6,7
50,Wausau,slow,325,unk,6,6,8,6
12,Wausau,slow,333,unk,6,6,5,5
32,Wausau,slow,338,unk,6,6,8,6
4,Wausau,slow,348,unk,6,6,7,6
28,Wausau,slow,351,unk,6,7,8,8
19,Wausau,slow,373,unk,6,6,6,5
2,Wausau,slow,376,unk,6,6,4,6
25,Wausau,slow,381,unk,6,6,6,6
31,Wausau,slow,384,unk,6,6,5,5
69,Wausau,slow,396,unk,6,6,6,4
49,Wausau,slow,404,unk,6,6,7,6
46,Wausau,mod,526,unk,7,7,6,6
55,Wausau,slow,302,unk,7,6,5,5
10,Wausau,slow,343,unk,7,7,7,6
20,Wausau,mod,549,unk,8,8,9,7
47,Wausau,mod,551,unk,8,8,8,7
1,Wausau,mod,561,unk,8,8,8,8
67,Wausau,fast,592,unk,8,8,7,7
48,Wausau,fast,612,unk,8,8,7,6
23,Wausau,slow,424,unk,8,8,8,8
60,Wausau,mod,569,unk,9,9,6,8
74,Wausau,mod,610,unk,9,9,6,7
35,Wausau,slow,323,unk,9,9,7,6
7,Wausau,slow,424,unk,9,9,7,7
27,Wausau,slow,427,unk,9,9,6,6
17,Wausau,fast,658,unk,10,10,9,9
70,Wausau,fast,699,unk,10,10,11,9
45,Wausau,mod,635,unk,12,12,8,9
24,Wausau,slow,478,unk,13,14,10,12
65,Wausau,slow,493,unk,13,14,11,12
61,Wausau,mod,683,unk,13,14,15,13
63,Wausau,slow,551,unk,15,16,13,14
15,Wausau,mod,673,unk,15,15,12,13
16,Wausau,fast,739,unk,15,15,14,15
76,Wausau,mod,665,unk,16,16,13,14
64,Wausau,slow,493,unk,17,16,10,10
6,Wausau,slow,564,unk,19,19,15,14
9,Wisconsin River - Kilbourn,fast,422,F,2,2,4,2
3,Wisconsin River - Kilbourn,fast,483,F,3,3,3,3
13,Wisconsin River - Kilbourn,fast,490,F,3,3,5,3
14,Wisconsin River - Kilbourn,fast,503,F,3,3,2,3
15,Wisconsin River - Kilbourn,fast,523,F,3,3,4,3
16,Wisconsin River - Kilbourn,fast,549,F,4,3,4,4
1251,Wisconsin River - Kilbourn,fast,549,F,4,4,5,4
4,Wisconsin River - Kilbourn,fast,589,F,4,4,7,5
18,Wisconsin River - Kilbourn,fast,625,F,6,6,5,6
1253,Wisconsin River - Kilbourn,fast,630,F,6,6,6,6
5,Wisconsin River - Kilbourn,fast,648,F,6,6,6,6
1250,Wisconsin River - Kilbourn,fast,668,F,8,8,7,6
1242,Wisconsin River - Kilbourn,fast,371,M,2,2,1,2
7,Wisconsin River - Kilbourn,fast,417,M,2,2,2,2
1244,Wisconsin River - Kilbourn,fast,417,M,2,2,2,3
8,Wisconsin River - Kilbourn,fast,419,M,2,2,4,3
1248,Wisconsin River - Kilbourn,fast,523,M,2,2,2,2
1,Wisconsin River - Kilbourn,fast,361,M,2,2,2,2
10,Wisconsin River - Kilbourn,fast,447,M,3,3,2,3
11,Wisconsin River - Kilbourn,fast,455,M,4,4,4,3
1246,Wisconsin River - Kilbourn,fast,485,M,5,6,5,5
12,Wisconsin River - Kilbourn,slow,480,M,8,8,6,8
17,Wisconsin River - Kilbourn,mod,551,M,8,8,7,7
1249,Wisconsin River - Kilbourn,mod,627,M,13,12,11,10
1252,Wisconsin River - Kilbourn,mod,625,M,15,14,12,13
1241,Wisconsin River - Kilbourn,fast,343,unk,1,1,1,2
37,Wisconsin River - Prairie du Sac,fast,373,F,1,1,2,2
16,Wisconsin River - Prairie du Sac,fast,432,F,3,4,3,3
5,Wisconsin River - Prairie du Sac,fast,463,F,3,3,2,3
14,Wisconsin River - Prairie du Sac,fast,468,F,3,3,3,3
8,Wisconsin River - Prairie du Sac,fast,481,F,3,3,3,3
15,Wisconsin River - Prairie du Sac,fast,485,F,3,3,2,3
11,Wisconsin River - Prairie du Sac,fast,501,F,3,3,3,3
38,Wisconsin River - Prairie du Sac,fast,606,F,7,7,8,6
39,Wisconsin River - Prairie du Sac,fast,701,F,8,8,8,8
6,Wisconsin River - Prairie du Sac,fast,378,M,2,2,2,2
12,Wisconsin River - Prairie du Sac,fast,397,M,2,2,7,4
33,Wisconsin River - Prairie du Sac,fast,363,M,2,2,3,3
13,Wisconsin River - Prairie du Sac,fast,427,M,3,3,4,3
23,Wisconsin River - Prairie du Sac,fast,438,M,3,3,2,4
19,Wisconsin River - Prairie du Sac,fast,447,M,3,3,3,3
4,Wisconsin River - Prairie du Sac,fast,450,M,3,3,3,3
21,Wisconsin River - Prairie du Sac,fast,398,M,3,3,3,3
24,Wisconsin River - Prairie du Sac,fast,402,M,3,3,3,3
35,Wisconsin River - Prairie du Sac,fast,409,M,3,3,4,4
10,Wisconsin River - Prairie du Sac,fast,412,M,3,3,2,3
2,Wisconsin River - Prairie du Sac,fast,484,M,4,4,3,4
41,Wisconsin River - Prairie du Sac,mod,535,M,7,7,4,4
40,Wisconsin River - Prairie du Sac,slow,510,M,12,12,8,8
26,Wisconsin River - Prairie du Sac,fast,213,unk,0,0,1,1
29,Wisconsin River - Prairie du Sac,fast,214,unk,0,0,1,0
31,Wisconsin River - Prairie du Sac,fast,216,unk,0,0,0,0
27,Wisconsin River - Prairie du Sac,fast,220,unk,0,0,0,0
30,Wisconsin River - Prairie du Sac,fast,224,unk,0,0,0,0
3,Wisconsin River - Prairie du Sac,fast,227,unk,0,0,0,0
36,Wisconsin River - Prairie du Sac,fast,230,unk,0,0,0,0
28,Wisconsin River - Prairie du Sac,fast,234,unk,0,0,0,0
25,Wisconsin River - Prairie du Sac,fast,253,unk,0,0,0,0
32,Wisconsin River - Prairie du Sac,fast,201,unk,0,0,0,0
20,Wisconsin River - Prairie du Sac,fast,299,unk,1,1,1,1
1,Wisconsin River - Prairie du Sac,fast,312,unk,1,1,3,3
34,Wisconsin River - Prairie du Sac,fast,317,unk,1,1,1,1
18,Wisconsin River - Prairie du Sac,fast,320,unk,1,2,1,1
7,Wisconsin River - Prairie du Sac,fast,347,unk,1,1,2,2
17,Wisconsin River - Prairie du Sac,fast,369,unk,2,2,3,3
22,Wisconsin River - Prairie du Sac,fast,387,unk,2,2,3,2
9,Wisconsin River - Prairie du Sac,fast,406,unk,2,2,3,3
