id,loc,growth,tl,sex,otoliths_R1,otoliths_R2,spines_R1,spines_R2
14,Delavan,slow,410,M,5,4,5,4
19,Delavan,slow,412,M,5,5,5,5
29,Delavan,slow,412,M,5,5,5,5
6,Delavan,slow,420,M,5,5,5,5
35,Delavan,mod,433,M,5,5,6,6
46,Delavan,mod,512,M,7,6,6,6
47,Delavan,slow,478,M,9,10,8,8
43,Delavan,slow,451,M,10,11,8,7
32,Delavan,slow,449,M,11,10,11,10
34,Delavan,slow,473,M,13,12,12,11
33,Delavan,slow,490,M,13,12,12,10
31,Delavan,mod,190,unk,0,0,0,0
12725,Duck,fast,561,F,5,5,6,7
12555,Duck,mod,457,F,5,5,5,7
12189,Duck,mod,470,F,5,5,5,5
12490,Duck,mod,470,F,5,5,5,6
12537,Duck,fast,363,M,2,2,2,2
12546,Duck,fast,373,M,2,2,3,3
12540,Duck,fast,376,M,2,2,2,4
12551,Duck,fast,399,M,2,2,2,3
12188,Duck,fast,391,M,3,3,3,3
12512,Duck,fast,409,M,3,3,4,5
12265,Dunn,slow,615,F,13,13,13,13
12305,Dunn,fast,432,unk,2,2,2,4
12941,Eagle,mod,561,F,7,7,7,8
12939,Eagle,slow,462,F,8,8,8,10
12948,Eagle,fast,312,M,1,2,2,3
12950,Eagle,slow,396,M,5,5,5,6
12951,Eagle,slow,427,M,5,5,5,5
12937,Eagle,slow,335,M,5,5,7,7
12949,Eagle,slow,328,M,6,6,6,6
12938,Eagle,slow,414,M,10,10,10,10
12947,Eagle,slow,483,M,10,10,10,11
12946,Eagle,slow,536,M,11,10,9,10
340,Green Bay,fast,381,F,1,2,1,2
4,Green Bay,fast,442,F,2,2,2,3
129,Green Bay,fast,447,F,2,2,2,2
247,Green Bay,fast,461,F,2,2,2,3
115,Green Bay,fast,475,F,2,2,2,3
280,Green Bay,fast,434,F,3,3,4,4
113,Green Bay,fast,506,F,3,3,3,3
26,Green Bay,fast,542,F,3,3,4,3
16,Green Bay,fast,505,F,4,4,4,4
40,Green Bay,fast,559,F,4,4,4,4
21,Green Bay,fast,562,F,4,4,4,4
53,Green Bay,fast,563,F,5,5,5,5
87,Green Bay,fast,515,F,5,5,5,5
93,Green Bay,fast,607,F,6,6,6,6
32,Green Bay,fast,621,F,6,6,6,6
25,Green Bay,fast,626,F,7,7,7,7
5,Green Bay,fast,639,F,7,7,8,6
136,Green Bay,fast,612,F,7,6,7,6
34,Green Bay,fast,646,F,8,7,8,7
265,Green Bay,fast,700,F,9,9,9,9
156,Green Bay,fast,650,F,10,10,10,9
11,Green Bay,fast,700,F,10,10,10,9
187,Green Bay,fast,702,F,10,10,10,9
155,Green Bay,fast,717,F,10,10,10,9
151,Green Bay,fast,721,F,10,10,10,10
208,Green Bay,fast,722,F,10,9,10,10
364,Green Bay,fast,727,F,10,10,10,10
268,Green Bay,fast,779,F,10,9,11,9
125,Green Bay,mod,652,F,11,10,12,11
18,Green Bay,fast,657,F,11,10,10,8
24,Green Bay,fast,685,F,12,12,13,11
50,Green Bay,fast,750,F,13,12,13,12
45,Green Bay,fast,731,F,16,16,15,14
30,Green Bay,fast,741,F,19,19,18,16
348,Green Bay,mod,774,F,26,26,18,18
360,Green Bay,fast,415,M,2,2,2,2
19,Green Bay,fast,470,M,2,2,2,2
289,Green Bay,fast,425,M,3,3,3,3
339,Green Bay,mod,400,M,4,4,4,4
110,Green Bay,fast,452,M,4,5,4,4
13,Green Bay,fast,474,M,4,3,4,3
295,Green Bay,slow,422,M,5,5,5,5
91,Green Bay,fast,532,M,5,4,4,4
357,Green Bay,fast,589,M,6,6,6,6
290,Green Bay,fast,555,M,6,6,6,6
114,Green Bay,mod,513,M,7,7,7,7
111,Green Bay,mod,616,M,10,10,6,8
79,Green Bay,mod,607,M,12,12,11,9
95,Green Bay,slow,609,M,13,13,10,12
74,Green Bay,mod,681,M,18,20,15,14
12972,Lac Courte Oreilles,mod,592,F,9,9,9,10
12973,Lac Courte Oreilles,mod,610,F,9,9,9,10
12969,Lac Courte Oreilles,mod,318,M,2,3,1,3
12981,Lac Courte Oreilles,mod,371,M,3,3,3,4
12979,Lac Courte Oreilles,mod,389,M,3,3,3,4
12978,Lac Courte Oreilles,fast,401,M,3,2,3,5
12982,Lac Courte Oreilles,slow,450,M,7,7,6,8
12977,Lac Courte Oreilles,mod,513,M,7,7,7,9
12970,Lac Courte Oreilles,slow,521,M,9,8,9,8
12971,Lac Courte Oreilles,slow,460,M,9,9,8,7
3,Lac Vieux Desert,mod,491,F,6,6,8,7
69,Lac Vieux Desert,fast,560,F,6,6,7,6
1,Lac Vieux Desert,slow,430,F,7,7,7,7
51,Lac Vieux Desert,fast,603,F,8,9,8,7
42,Lac Vieux Desert,mod,600,F,9,8,9,8
59,Lac Vieux Desert,slow,520,F,9,10,10,9
70,Lac Vieux Desert,fast,619,F,9,9,8,8
2,Lac Vieux Desert,slow,441,F,9,10,10,9
48,Lac Vieux Desert,slow,497,F,10,9,10,8
60,Lac Vieux Desert,slow,577,F,12,12,12,11
14,Lac Vieux Desert,fast,242,M,0,0,0,0
8,Lac Vieux Desert,fast,259,M,0,0,0,0
4,Lac Vieux Desert,mod,318,M,2,3,2,3
38,Lac Vieux Desert,slow,389,M,5,6,6,6
41,Lac Vieux Desert,mod,430,M,5,6,6,5
62,Lac Vieux Desert,mod,439,M,5,5,8,6
53,Lac Vieux Desert,slow,412,M,6,6,9,5
33,Lac Vieux Desert,slow,415,M,6,7,6,5
32,Lac Vieux Desert,slow,419,M,6,6,6,6
54,Lac Vieux Desert,slow,422,M,6,6,6,6
55,Lac Vieux Desert,slow,424,M,6,6,8,6
45,Lac Vieux Desert,slow,428,M,6,6,6,5
36,Lac Vieux Desert,slow,430,M,6,6,5,5
61,Lac Vieux Desert,slow,441,M,6,6,6,6
35,Lac Vieux Desert,slow,449,M,6,6,5,5
29,Lac Vieux Desert,slow,451,M,6,6,6,5
67,Lac Vieux Desert,mod,484,M,6,6,6,7
34,Lac Vieux Desert,slow,381,M,6,6,6,5
66,Lac Vieux Desert,slow,386,M,6,7,7,7
56,Lac Vieux Desert,slow,387,M,6,5,5,5
43,Lac Vieux Desert,slow,394,M,6,6,6,5
31,Lac Vieux Desert,slow,448,M,7,8,7,7
63,Lac Vieux Desert,slow,373,M,7,7,5,6
44,Lac Vieux Desert,slow,386,M,7,6,5,5
52,Lac Vieux Desert,slow,388,M,7,8,7,7
30,Lac Vieux Desert,slow,395,M,7,6,6,5
40,Lac Vieux Desert,slow,406,M,7,7,6,6
64,Lac Vieux Desert,slow,410,M,7,6,5,6
50,Lac Vieux Desert,slow,422,M,7,8,6,6
39,Lac Vieux Desert,slow,417,M,8,9,8,8
37,Lac Vieux Desert,slow,427,M,9,8,8,7
58,Lac Vieux Desert,slow,439,M,9,10,9,10
27,Lac Vieux Desert,slow,470,M,9,9,8,8
71,Lac Vieux Desert,slow,474,M,9,8,7,7
65,Lac Vieux Desert,slow,448,M,10,10,9,8
49,Lac Vieux Desert,slow,464,M,10,10,10,8
26,Lac Vieux Desert,slow,472,M,13,12,12,10
47,Lac Vieux Desert,slow,495,M,14,15,11,11
68,Lac Vieux Desert,slow,466,M,15,16,10,10
10,Lac Vieux Desert,fast,218,unk,0,0,0,0
22,Lac Vieux Desert,mod,162,unk,0,0,0,0
23,Lac Vieux Desert,mod,164,unk,0,0,0,0
21,Lac Vieux Desert,mod,165,unk,0,0,1,0
19,Lac Vieux Desert,mod,169,unk,0,0,1,0
17,Lac Vieux Desert,mod,173,unk,0,0,0,0
16,Lac Vieux Desert,mod,178,unk,0,0,0,0
13,Lac Vieux Desert,mod,181,unk,0,0,1,0
12,Lac Vieux Desert,mod,186,unk,0,0,0,0
20,Lac Vieux Desert,mod,187,unk,0,0,1,0
7,Lac Vieux Desert,mod,189,unk,0,0,0,0
6,Lac Vieux Desert,mod,191,unk,0,0,1,0
15,Lac Vieux Desert,fast,201,unk,0,0,0,0
11,Lac Vieux Desert,fast,207,unk,0,0,0,0
18,Lac Vieux Desert,fast,207,unk,0,0,0,0
9,Lac Vieux Desert,fast,211,unk,0,0,0,0
25,Lac Vieux Desert,slow,130,unk,0,0,0,0
24,Lac Vieux Desert,slow,140,unk,0,0,1,0
11491,Mamie,slow,427,F,6,7,6,7
12099,Mamie,slow,457,F,6,6,7,7
12097,Mamie,mod,549,F,7,8,8,9
12094,Mamie,fast,597,F,8,8,8,8
12100,Mamie,fast,599,F,8,8,8,9
12098,Mamie,slow,546,F,10,10,10,10
11494,Mamie,mod,648,F,14,13,12,11
12096,Mamie,slow,310,M,4,4,6,8
12091,Mamie,slow,351,M,6,6,6,6
12095,Mamie,slow,361,M,7,7,6,8
12092,Mamie,slow,401,M,8,8,7,7
12093,Mamie,slow,411,unk,5,5,5,6
14,Mississippi River,fast,208,unk,0,0,0,0
22,Mississippi River,mod,173,unk,0,0,0,0
17,Mississippi River,mod,196,unk,0,0,0,0
2,Mississippi River,fast,292,unk,1,2,3,3
19,Mississippi River,fast,300,unk,1,1,6,2
1,Mississippi River,fast,312,unk,1,1,3,2
3,Mississippi River,fast,315,unk,1,1,2,2
10,Mississippi River,fast,325,unk,1,1,1,2
4,Mississippi River,mod,251,unk,1,1,3,2
18,Mississippi River,mod,269,unk,1,1,3,2
16,Mississippi River,fast,279,unk,1,1,2,2
13,Mississippi River,fast,371,unk,2,2,3,2
7,Mississippi River,fast,394,unk,2,2,3,3
20,Mississippi River,fast,345,unk,2,2,2,3
15,Mississippi River,fast,353,unk,2,2,2,3
5,Mississippi River,fast,358,unk,2,2,2,3
21,Mississippi River,fast,455,unk,3,3,3,3
11,Mississippi River,mod,351,unk,3,3,3,3
12,Mississippi River,fast,406,unk,3,3,4,4
9,Mississippi River,fast,409,unk,3,3,3,3
8,Mississippi River,fast,414,unk,3,3,6,4
6,Mississippi River,fast,419,unk,3,3,3,3
12907,Oxbow,slow,462,F,9,10,10,9
12912,Oxbow,mod,605,F,10,9,9,10
12917,Oxbow,mod,640,F,14,13,14,12
12919,Oxbow,slow,353,M,4,4,4,4
12920,Oxbow,slow,325,M,4,4,4,4
12914,Oxbow,slow,389,M,5,6,7,6
12915,Oxbow,slow,394,M,5,5,6,6
12918,Oxbow,mod,467,M,6,6,6,7
12913,Oxbow,mod,472,M,6,6,8,8
12916,Oxbow,slow,389,M,6,6,5,7
12921,Oxbow,slow,340,M,9,9,5,5
12785,Pelican,fast,564,F,6,6,7,6
12787,Pelican,fast,602,F,8,8,6,5
12776,Pelican,fast,330,M,1,1,2,2
12784,Pelican,mod,363,M,3,2,4,3
12783,Pelican,slow,373,M,4,4,4,5
12780,Pelican,mod,391,M,4,4,5,5
12782,Pelican,mod,422,M,4,4,5,5
12777,Pelican,mod,432,M,4,4,5,6
12778,Pelican,slow,389,M,5,5,4,5
12779,Pelican,slow,472,M,8,9,10,9
12781,Pelican,slow,478,M,9,9,9,9
12786,Pelican,slow,615,unk,13,12,12,12
11984,Planting Ground,slow,406,F,5,5,5,5
11982,Planting Ground,slow,411,F,6,6,6,6
11987,Planting Ground,mod,605,F,9,9,8,8
11988,Planting Ground,fast,625,F,9,10,11,10
11986,Planting Ground,mod,597,F,11,10,10,9
11985,Planting Ground,mod,625,F,13,13,13,11
11981,Planting Ground,slow,330,M,4,4,4,5
11979,Planting Ground,slow,343,M,4,3,6,6
11980,Planting Ground,slow,361,M,6,6,6,6
11983,Planting Ground,slow,439,unk,6,6,6,6
12356,Red Cedar,fast,366,M,2,2,3,3
12277,Red Cedar,mod,356,M,3,3,4,4
12290,Red Cedar,slow,358,M,4,4,5,5
12358,Red Cedar,slow,371,M,4,4,3,5
12372,Red Cedar,slow,401,M,7,7,5,5
11779,Round,mod,523,F,7,6,6,6
11780,Round,mod,561,F,7,6,6,5
11774,Round,slow,366,M,4,4,4,4
11777,Round,slow,386,M,4,4,4,3
11776,Round,slow,373,M,5,5,5,4
11775,Round,slow,424,M,6,6,6,6
11773,Round,slow,445,M,6,6,6,5
11778,Round,mod,488,M,6,6,6,6
11785,Round,mod,579,M,10,10,9,9
11784,Round,slow,536,M,15,15,13,11
11786,Round,slow,559,M,16,16,11,9
12945,Scattering Rice,mod,577,F,10,10,15,13
12940,Scattering Rice,slow,612,F,15,16,10,9
12943,Scattering Rice,fast,373,M,2,3,3,4
12944,Scattering Rice,slow,318,M,4,4,4,4
12670,Shell,slow,536,F,10,9,8,4
12289,Shell,mod,325,M,2,1,2,3
12369,Shell,slow,406,M,5,4,5,5
12316,Shell,slow,417,M,5,5,5,5
12348,Shell,slow,363,M,5,5,5,5
12351,Shell,slow,351,M,6,6,6,7
12266,Shell,slow,389,M,7,6,4,4
12137,Squirrel,slow,495,F,7,7,6,7
12142,Squirrel,mod,549,F,8,8,8,9
11763,Stone,fast,490,F,3,3,5,6
11761,Stone,fast,503,F,3,2,4,5
11769,Stone,fast,574,F,5,5,5,6
11759,Stone,fast,505,F,5,5,5,5
11758,Stone,fast,594,F,7,7,6,5
11770,Stone,mod,617,F,10,10,9,7
11760,Stone,fast,401,M,2,2,2,3
11762,Stone,mod,330,M,2,2,3,3
11757,Stone,fast,353,M,2,2,3,3
11771,Stone,fast,358,M,2,2,2,3
11767,Stone,fast,417,M,3,3,4,5
11768,Stone,mod,417,M,4,4,4,5
3565,Sturgeon Bay,fast,402,F,2,2,2,2
3566,Sturgeon Bay,fast,467,F,3,3,3,3
3570,Sturgeon Bay,fast,503,F,4,4,4,4
3435,Sturgeon Bay,fast,518,F,4,4,4,4
3548,Sturgeon Bay,fast,519,F,4,4,4,4
3526,Sturgeon Bay,fast,526,F,4,4,4,6
3552,Sturgeon Bay,fast,533,F,4,4,4,4
3573,Sturgeon Bay,fast,535,F,4,4,4,4
3539,Sturgeon Bay,fast,536,F,4,4,4,4
3452,Sturgeon Bay,fast,537,F,4,4,4,4
3516,Sturgeon Bay,fast,537,F,4,4,4,4
3559,Sturgeon Bay,fast,540,F,4,4,4,4
