id,Fin_R1,Fin_R2,Fin_R3,Otolith_R1,Otolith_R2,Otolith_R3,Scale_R1,Scale_R2,Scale_R3
577,12,11,13,13,13,14,14,14,16
578,14,14,15,16,17,17,15,14,16
579,13,15,17,19,18,19,17,17,19
580,11,12,14,14,14,14,14,14,15
581,10,10,12,10,10,10,10,12,13
582,13,12,13,9,9,9,14,13,13
583,8,8,8,13,13,14,9,10,10
584,10,11,11,12,12,12,11,11,11
591,10,12,13,13,13,13,12,10,10
592,12,12,13,12,14,13,12,10,9
593,6,6,7,8,7,8,6,6,6
594,6,6,7,6,5,6,5,7,7
595,6,6,6,6,5,6,6,5,5
598,14,14,16,17,16,17,13,13,13
599,15,16,17,19,25,25,20,20,19
600,8,8,10,10,10,10,10,8,10
601,7,7,7,8,7,7,8,8,7
602,8,9,9,9,9,9,9,8,8
603,11,11,11,14,13,14,13,11,11
604,11,11,10,12,11,12,11,10,7
606,10,11,13,11,9,10,12,10,12
607,11,11,13,13,13,14,12,11,10
608,10,10,12,12,12,13,11,9,9
609,9,9,9,11,11,11,10,13,13
610,11,11,12,13,12,13,11,10,10
611,16,17,17,17,17,18,16,17,16
612,7,7,9,7,7,8,10,11,12
64,6,7,6,6,5,6,6,6,6
673,9,10,11,12,11,12,10,11,11
675,14,14,14,15,15,15,14,13,13
679,14,13,13,14,14,15,14,14,14
680,13,13,14,13,13,14,12,12,12
681,9,9,10,10,10,10,11,11,10
688,14,13,14,19,19,19,16,16,17
690,12,12,12,20,20,20,10,11,11
691,11,11,11,13,13,13,11,12,12
693,12,13,13,15,14,15,14,15,16
695,6,6,6,7,5,6,8,8,6
696,14,14,14,20,19,20,16,16,16
697,9,9,10,11,10,12,11,11,12
698,11,11,12,12,12,13,12,12,12
72,11,11,10,12,12,12,15,18,16
729,9,9,10,10,10,10,12,15,16
73,15,16,16,17,18,18,13,13,14
730,15,15,16,17,20,19,15,15,15
732,10,11,11,11,11,11,12,15,15
733,4,4,4,4,4,5,6,5,5
734,6,6,7,5,6,5,6,6,7
735,9,9,12,7,7,7,7,7,7
736,7,7,7,7,7,6,7,7,8
737,11,14,14,15,14,15,12,11,16
738,9,9,10,11,11,11,13,13,13
739,12,13,14,17,16,16,13,13,14
74,23,23,24,22,23,23,18,17,18
740,9,9,9,10,9,8,10,10,13
741,10,9,10,13,11,13,10,11,11
742,7,6,7,6,6,6,4,4,9
743,11,10,11,12,11,12,8,8,7
744,9,11,9,14,12,13,16,15,17
762,9,10,10,12,12,12,9,8,10
763,7,7,10,9,7,10,9,8,8
766,17,18,19,19,22,21,18,17,17
767,12,12,12,16,14,15,13,11,11
771,14,15,15,20,19,19,18,19,20
844,9,9,10,8,8,8,9,9,9
845,12,13,13,13,13,13,12,13,13
846,9,10,10,10,10,10,10,9,9
851,11,12,12,13,12,13,13,12,12
852,12,12,13,14,13,14,11,11,10
862,13,13,13,13,13,13,12,11,11
863,15,15,15,12,13,13,11,11,10
864,13,12,15,15,13,15,14,12,12
867,12,12,13,13,13,14,14,13,14
868,11,12,11,13,13,13,12,10,12
883,12,13,13,13,13,13,12,10,10
884,12,12,13,12,12,12,11,12,12
885,11,11,11,12,12,12,12,11,11
886,13,14,13,17,13,17,12,13,13
887,12,14,15,13,13,14,14,12,12
888,12,14,15,16,14,17,12,11,11
889,11,12,13,13,13,12,11,11,11
890,15,15,15,18,18,18,16,17,17
891,12,12,12,12,12,12,9,10,11
965,8,8,8,8,8,8,6,7,7
966,5,6,7,8,5,6,5,5,5
979,12,12,13,12,13,12,12,13,13
980,8,8,8,8,8,8,8,8,8
986,8,8,8,7,7,7,7,3,7
987,7,7,7,7,7,7,7,4,7
988,5,6,7,4,4,5,7,6,6
989,4,5,6,6,6,7,6,6,5
990,4,4,5,4,5,5,5,4,4
991,3,3,3,4,3,4,3,3,4
992,5,6,6,5,7,6,6,5,5
996,7,7,8,8,8,8,8,8,8
