id,year,river,tl,wt,sex,scales_R1,scales_R2,scales_R3,anal_R1,anal_R2,anal_R3,otolith_R1,otolith_R2,otolith_R3,cleithra_R1,cleithra_R2,cleithra_R3
DCP16,2011,Duck Creek,636,NA,Female,5,6,8,5,5,5,3,4,4,4,4,4
DCP17,2011,Duck Creek,610,NA,Male,6,5,4,4,4,4,3,3,3,4,4,4
DCP2,2011,Duck Creek,685,NA,Female,4,5,3,3,3,5,3,4,4,5,5,4
DCP3,2011,Duck Creek,760,NA,Female,4,3,3,3,3,3,3,4,3,5,5,3
DCP4,2011,Duck Creek,855,NA,Female,5,7,4,6,6,6,5,6,6,5,5,7
DCP5,2011,Duck Creek,866,NA,Female,6,6,6,4,6,5,4,6,5,6,6,5
DCP6,2011,Duck Creek,752,NA,Female,5,5,6,4,4,5,3,4,3,5,5,4
DCP7,2011,Duck Creek,735,NA,Female,6,3,3,3,3,5,3,3,3,5,4,3
DCP8,2011,Duck Creek,676,NA,Female,8,6,5,4,4,5,5,5,5,6,5,5
DCP9,2011,Duck Creek,640,NA,Female,6,4,3,3,3,4,3,5,3,5,4,4
DCR1,2011,Duck Creek,872,NA,Female,8,8,9,6,6,5,7,7,8,6,6,8
GBA1,2011,Green Bay,584,NA,Unknown,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
GBA2,2011,Green Bay,673,NA,Female,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA
GBA3,2011,Green Bay,628,NA,Unknown,NA,NA,NA,NA,NA,NA,3,4,4,NA,NA,NA
GBA4,2011,Green Bay,603.25,NA,Female,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
GBA5,2011,Green Bay,743,NA,Male,NA,NA,NA,NA,NA,NA,10,10,9,NA,NA,NA
GBA6,2011,Green Bay,521,NA,Male,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA
GBA7,2011,Green Bay,381,NA,Male,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA
Ice Derby 1,2011,Green Bay,723.9,NA,Female,NA,NA,NA,NA,NA,NA,6,5,4,NA,NA,NA
Ice Derby 2,2011,Green Bay,660.4,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,5,NA,NA,NA
Ice Derby 3,2011,Green Bay,723.9,NA,Unknown,NA,NA,NA,NA,NA,NA,5,4,4,NA,NA,NA
Ice Derby 4,2011,Green Bay,850.9,NA,Female,NA,NA,NA,NA,NA,NA,6,4,4,NA,NA,NA
Ice Derby 5,2011,Green Bay,698.5,NA,Unknown,NA,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA
Ice Derby 6,2011,Green Bay,660.4,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
Ice Derby 7,2011,Green Bay,654.05,NA,Unknown,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA
LSA1,2011,Little Suaumico River,595,0.68,Female,5,3,3,3,3,5,3,2,3,3,2,4
LSA10,2011,Little Suaumico River,600,1.18,Female,6,6,3,3,3,3,3,2,3,4,4,3
LSA2,2011,Little Suaumico River,735,1.86,Female,4,5,5,4,4,4,5,4,4,5,4,4
LSA3,2011,Little Suaumico River,737,NA,Female,6,5,6,4,4,5,4,3,3,6,6,4
LSA4,2011,Little Suaumico River,745,2.09,Female,4,6,5,4,4,5,5,5,4,6,5,5
LSA5,2011,Little Suaumico River,645,0.97,Male,3,4,4,4,4,4,6,4,5,5,5,5
LSA6,2011,Little Suaumico River,514,0.77,Female,4,5,4,2,2,2,3,3,3,3,3,3
LSA7,2011,Little Suaumico River,654,0.97,Male,5,7,5,5,5,4,6,5,6,6,6,5
LSA8,2011,Little Suaumico River,846,3.23,Female,4,5,4,5,5,5,5,5,5,8,8,4
LSA9,2011,Little Suaumico River,614,0.96,Female,4,5,3,4,4,4,3,3,3,5,4,5
LSB1,2011,Little Suaumico River,573,NA,Male,6,4,3,4,4,5,4,4,3,5,4,3
LSB10,2011,Little Suaumico River,431,0.06,Male,3,3,2,3,2,2,3,2,2,3,4,3
LSB11,2011,Little Suaumico River,395,0.05,Male,3,3,2,3,2,3,3,2,2,2,2,2
LSB2,2011,Little Suaumico River,566,0.95,Male,5,5,4,4,4,5,3,2,3,4,4,3
LSB3,2011,Little Suaumico River,910,3.72,Female,5,6,6,6,7,7,9,8,8,9,9,8
LSB4,2011,Little Suaumico River,494,0.64,Male,4,4,3,3,3,4,3,3,2,3,3,3
LSB5,2011,Little Suaumico River,509,0.05,Male,4,4,3,3,3,5,4,4,3,4,4,4
LSB6,2011,Little Suaumico River,554,0.51,Male,3,5,3,3,3,3,3,4,3,4,4,3
LSB7,2011,Little Suaumico River,601,1.13,Female,5,4,3,4,4,4,4,3,4,4,5,4
LSB8,2011,Little Suaumico River,402,0.05,Female,3,3,1,2,2,3,3,3,2,3,2,2
LSB9,2011,Little Suaumico River,500,0.45,Male,4,4,2,3,3,5,3,4,4,3,2,4
LSR1,2011,Little Suaumico River,622,1.04,Female,NA,NA,NA,3,3,4,3,3,3,5,5,4
LVA1,2011,Lineville Road Ditch,600,0.95,Male,4,5,3,3,3,3,4,3,4,4,4,4
LVA2,2011,Lineville Road Ditch,809,3.72,Female,6,7,6,6,7,5,4,5,4,5,6,6
LVA3,2011,Lineville Road Ditch,701,2.95,Female,5,5,5,4,4,4,4,4,5,3,3,4
LVA4,2011,Lineville Road Ditch,556,1.5,Female,4,5,4,3,3,2,3,3,3,3,2,5
LVA5,2011,Lineville Road Ditch,660,1.95,Male,4,6,7,4,5,3,5,6,5,6,6,5
LVA6,2011,Lineville Road Ditch,500,0.77,Male,5,5,5,3,3,4,3,5,3,3,3,4
LVA7,2011,Lineville Road Ditch,540,1.27,Female,6,4,8,6,5,4,3,3,4,5,5,4
PRA1,2011,Pensaukee River,594,0.96,Female,4,5,3,4,3,4,4,4,4,NA,NA,NA
PRA10,2011,Pensaukee River,550,NA,Female,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA
PRA2,2011,Pensaukee River,602,0.97,Female,4,3,4,3,3,2,3,3,4,NA,NA,NA
PRA3,2011,Pensaukee River,985,5.04,Female,6,7,7,9,10,9,10,9,10,10,10,9
PRA4,2011,Pensaukee River,712,1.18,Female,4,5,3,4,4,5,4,4,4,5,4,3
PRA5,2011,Pensaukee River,611,1.27,Female,3,4,3,3,3,3,3,4,3,3,4,2
PRA6,2011,Pensaukee River,682,1.45,Female,5,5,5,4,4,5,4,4,4,4,4,4
PRA7,2011,Pensaukee River,461,0.06,Female,4,2,4,3,3,4,3,3,2,3,3,2
PRA8,2011,Pensaukee River,512,0.64,Female,5,3,5,2,3,2,3,3,3,3,3,2
PRA9,2011,Pensaukee River,581,1.04,Female,4,3,5,3,3,4,3,3,4,4,3,4
PRB1,2011,Pensaukee River,686,1.68,Female,4,5,5,4,4,4,4,5,5,6,6,6
PRB2,2011,Pensaukee River,431,0.05,Female,3,3,3,3,3,2,2,2,2,3,3,2
PRB3,2011,Pensaukee River,436,0.45,Male,3,3,2,4,4,4,3,3,3,3,3,3
PRB4,2011,Pensaukee River,449,0.45,Male,4,5,3,3,3,2,3,3,2,3,3,4
PRB5,2011,Pensaukee River,480,0.64,Male,3,4,4,3,3,3,3,5,3,3,3,3
PRB6,2011,Pensaukee River,485,0.64,Male,5,5,4,4,4,4,4,4,4,3,3,4
PRB7,2011,Pensaukee River,537,0.5,Female,4,4,4,4,4,4,3,4,3,5,3,6
PRB8,2011,Pensaukee River,290,NA,Male,2,2,2,2,2,2,2,2,2,2,2,4
PRR1,2011,Pensaukee River,476,0.680388555,Female,3,4,2,4,4,4,3,3,3,3,4,3
PRR2,2011,Pensaukee River,747,NA,Female,5,6,5,5,5,5,6,6,5,4,4,5
SRA1,2011,Suamico River,668,0.97,Female,5,5,5,4,4,3,3,3,3,5,5,5
SRA10,2011,Suamico River,565,0.91,Male,4,4,6,2,2,3,7,7,7,5,5,5
SRA11,2011,Suamico River,600,1.32,Female,5,4,3,4,5,3,3,2,3,4,4,3
SRA12,2011,Suamico River,430,0.06,Male,3,3,3,2,3,2,3,2,2,3,3,2
SRA2,2011,Suamico River,605,0.96,Female,4,6,5,3,3,3,4,4,4,4,4,3
SRA3,2011,Suamico River,889,3.69,Female,5,6,6,5,6,6,5,5,6,8,7,5
SRA4,2011,Suamico River,590,0.91,Male,5,5,3,4,3,2,3,2,4,3,3,3
SRA5,2011,Suamico River,594,1,Male,4,4,4,4,5,5,4,4,4,4,4,4
SRA6,2011,Suamico River,582,0.07,Male,4,5,6,2,2,3,3,3,3,4,4,3
SRA7,2011,Suamico River,549,0.64,Male,3,4,5,3,3,3,3,3,3,4,4,3
SRA8,2011,Suamico River,598,1.22,Female,4,4,4,3,3,4,5,4,5,5,5,5
SRA9,2011,Suamico River,576,1.18,Female,4,4,4,2,2,3,3,3,4,4,4,3
SRC1,2011,Suamico River,580,1.27,Male,5,5,4,3,3,3,3,3,3,4,3,4
SRC10,2011,Suamico River,466,0.54,Male,4,3,4,3,2,4,4,3,3,3,3,4
SRC2,2011,Suamico River,565,0.91,Male,3,5,4,3,3,3,3,3,3,3,4,3
SRC3,2011,Suamico River,441,0.5,Male,4,4,4,2,2,2,3,3,2,3,3,3
SRC4,2011,Suamico River,612,0.97,Male,5,6,5,3,3,2,4,4,4,3,3,3
SRC5,2011,Suamico River,490,0.59,Male,4,4,3,4,2,3,3,3,3,3,2,3
SRC6,2011,Suamico River,660,1.59,Female,3,5,5,3,3,6,4,3,4,4,4,4
SRC7,2011,Suamico River,631,1.27,Female,5,5,3,3,3,5,4,3,4,3,4,4
SRC8,2011,Suamico River,536,0.73,Male,5,4,5,3,3,4,3,3,3,3,6,4
SRC9,2011,Suamico River,521,0.77,Male,4,4,5,3,3,4,4,4,4,3,3,3
1,2012,Duck Creek,736,2.15,Female,4,5,5,4,4,5,4,4,4,4,5,5
2,2012,Duck Creek,490,0.65,Male,3,4,2,3,3,2,3,2,2,3,3,2
3,2012,Duck Creek,NA,NA,Unknown,3,5,3,NA,NA,NA,5,5,4,4,4,4
4,2012,Duck Creek,730,2.2,Female,4,7,6,4,4,5,4,4,3,6,6,5
5,2012,Duck Creek,448,0.5,Male,3,3,2,2,2,2,2,2,2,3,3,2
6,2012,Suamico River,625,1.5,Male,3,5,5,4,4,3,3,3,3,4,4,3
7,2012,Pensaukee River,590,1.24,Male,5,6,5,4,4,4,4,4,4,6,5,4
8,2012,Duck Creek,824,2.97,Female,5,6,6,7,7,4,7,7,7,7,7,6
9,2012,Duck Creek,485,0.65,Male,3,4,3,3,3,3,3,3,3,4,4,3
10,2012,Lineville Road Ditch,638,1.15,Female,4,6,4,4,4,3,5,4,4,4,4,4
11,2012,Pensaukee River,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA
12,2012,Pensaukee River,600,1.45,Female,5,5,5,3,3,2,3,3,2,4,4,3
13,2012,Suamico River,1010,7.5,Female,8,8,8,7,7,8,10,9,9,9,8,8
14,2012,Lineville Road Ditch,460,0.49,Male,4,4,2,3,3,3,4,4,4,3,3,3
15,2012,Lineville Road Ditch,690,1.08,Female,5,5,4,3,3,4,3,3,3,3,3,3
16,2012,Brown Road Ditch,582,0.95,Male,3,6,4,4,3,3,5,4,4,3,3,3
17,2012,Brown Road Ditch,579,1.1,Female,3,4,2,3,2,3,3,3,3,4,3,3
18,2012,Pensaukee River,532,0.78,Male,4,5,4,4,4,3,4,3,4,3,3,4
19,2012,Pensaukee River,453,0.5,Male,4,5,4,3,3,3,3,3,3,3,4,3
20,2012,Pensaukee River,384,0.33,Male,2,3,2,3,2,2,3,2,3,3,2,2
21,2012,Pensaukee River,431,0.46,Male,4,3,3,3,3,2,3,3,3,3,2,3
22,2012,Duck Creek,466,0.57,Male,4,5,4,3,3,3,3,3,3,3,2,3
23,2012,Duck Creek,482,0.55,Male,4,5,5,3,3,2,3,3,3,3,3,4
24,2012,Duck Creek,NA,NA,Male,3,5,3,3,2,2,5,5,5,4,3,5
25,2012,Suamico River,589,1.2,Male,3,3,4,3,3,4,4,3,3,3,3,3
26,2012,Lineville Road Ditch,374,0.32,Male,3,3,2,2,2,2,3,2,3,2,2,3
27,2012,Pensaukee River,790,3.2,Female,5,6,6,4,4,4,5,5,4,5,5,4
28,2012,Pensaukee River,581,1.03,Male,5,4,2,3,4,4,4,4,4,3,3,4
29,2012,Pensaukee River,495,0.44,Female,3,3,3,3,3,2,3,3,3,3,3,3
30,2012,Pensaukee River,597,1.18,Male,5,6,5,3,2,3,3,3,3,3,4,3
31,2012,Pensaukee River,515,NA,Female,4,4,4,3,2,2,2,3,3,3,4,3
32,2012,Pensaukee River,506,0.68,Female,3,3,3,3,2,2,4,3,3,3,3,3
33,2012,Pensaukee River,359,0.28,Male,3,2,2,2,2,2,2,2,2,2,2,2
34,2012,Pensaukee River,405,0.37,Female,3,3,2,2,2,2,2,2,2,3,3,3
35,2012,Pensaukee River,485,0.63,Male,3,4,3,2,2,2,3,3,3,3,3,3
36,2012,Little Suaumico River,722,1.7,Female,4,4,4,3,4,4,4,4,3,4,4,3
37,2012,Little Suaumico River,754,2.08,Female,6,5,3,3,4,4,4,5,4,4,4,4
38,2012,Little Suaumico River,732,2,Female,5,6,4,3,3,3,4,5,4,5,5,5
39,2012,Lineville Road Ditch,374,0.32,Male,2,2,2,3,3,2,3,2,2,2,2,2
40,2012,Suamico River,380,0.32,Male,3,2,2,3,3,2,3,2,2,3,2,2
41,2012,Suamico River,531,0.82,Female,4,4,3,3,3,2,3,3,3,3,3,3
42,2012,Little Suaumico River,372,0.31,Male,3,2,2,2,2,2,3,2,2,3,3,2
43,2012,Pensaukee River,845,2.9,Female,4,6,8,4,5,7,6,6,6,7,7,6
44,2012,Pensaukee River,649,1.37,Male,5,4,3,3,4,3,5,6,5,5,5,5
45,2012,Pensaukee River,432,0.4,Male,3,3,2,3,3,2,2,3,2,2,2,2
46,2012,Little Suaumico River,500,0.63,Female,4,4,4,3,3,3,3,4,2,4,4,4
47,2012,Pensaukee River,596,1.1,Male,3,5,4,3,5,3,4,4,3,4,4,3
48,2012,Pensaukee River,550,0.95,Male,4,4,4,3,4,2,3,2,2,4,4,3
49,2012,Pensaukee River,640,1.4,Female,4,4,3,2,3,2,3,3,3,4,4,3
50,2012,Pensaukee River,446,0.45,Female,4,3,3,3,3,3,3,4,3,3,3,3
51,2012,Suamico River,415,0.4,Male,2,2,2,3,3,3,3,2,2,3,3,2
52,2012,Suamico River,591,1.08,Male,4,4,5,3,4,3,4,5,3,4,4,3
53,2012,Suamico River,677,1.07,Female,5,6,6,4,4,4,4,6,3,4,4,4
54,2012,Suamico River,405,0.39,Male,3,3,2,3,3,2,NA,NA,NA,3,3,2
55,2012,Suamico River,610,1.21,Female,3,4,3,3,3,3,3,4,2,3,3,3
56,2012,Pensaukee River,486,0.53,Male,4,4,3,3,2,2,3,4,3,3,3,3
57,2012,Pensaukee River,464,0.54,Female,4,3,3,3,2,2,5,5,4,3,3,4
58,2012,Pensaukee River,433,0.41,Male,4,3,2,3,2,2,4,4,4,3,2,4
59,2012,Pensaukee River,NA,NA,Unknown,3,2,2,NA,NA,NA,3,5,3,3,3,3
60,2012,Lineville Road Ditch,546,0.9,Female,4,4,4,3,3,3,3,5,3,5,5,3
61,2012,Pensaukee River,310,0.17,Male,3,2,2,2,2,2,NA,NA,NA,2,2,2
62,2012,Kayes Creek,395,0.35,Male,3,3,2,3,3,2,3,3,3,3,2,2
63,2012,Kayes Creek,374,0.28,Male,3,2,2,3,3,3,3,3,3,3,2,2
64,2012,Pensaukee River,388,0.31,Male,3,2,2,2,2,2,2,2,2,3,3,2
65,2012,Pensaukee River,341,0.21,Male,3,2,2,3,3,2,3,4,3,2,2,2
66,2012,Kayes Creek,490,0.64,Male,4,5,3,3,3,3,3,3,2,3,3,3
67,2012,Kayes Creek,427,0.41,Male,3,2,2,3,3,3,3,3,3,3,4,3
68,2012,Little Suaumico River,366,0.25,Male,3,3,2,3,3,2,3,3,3,2,2,2
69,2012,Kayes Creek,517,0.71,Female,5,6,5,4,4,3,3,4,3,3,3,3
70,2012,Suamico River,420,0.33,Female,3,3,4,3,3,2,3,3,2,3,3,2
71,2012,Kayes Creek,362,0.25,Male,3,3,2,3,3,2,3,2,2,2,2,2
81,2012,Brown Road Ditch,613,1.25,Male,4,5,3,4,4,4,4,5,3,4,3,3
82,2012,Brown Road Ditch,566,1.22,Female,3,3,3,3,4,2,3,4,2,4,4,3
83,2012,Little Suaumico River,717,2.25,Female,4,6,5,3,3,4,3,3,3,4,4,4
84,2012,Pensaukee River,542,0.93,Male,4,4,4,3,3,4,4,6,4,4,4,4
85,2012,Little Suaumico River,425,0.35,Male,3,3,2,3,3,2,3,3,3,2,2,3
