tl,wt,sex,mat,finrays_R1,finrays_R2,finrays_R3,finrays_CONSENSUS,gular_R1,gular_R2,gular_R3,gular_CONSENSUS
530,1402,M,M,8,7,3,NA,3,3,3,3
615,2132,F,M,6,6,6,6,NA,NA,NA,NA
616,2100,F,M,7,7,7,7,4,7,5,7
616,2050,F,M,6,6,6,6,NA,NA,NA,NA
621,1970,F,M,4,4,4,4,6,4,4,4
622,1920,F,M,5,5,4,5,4,5,5,4
624,2080,F,M,8,8,7,8,7,7,7,7
624,1896,F,M,NA,NA,NA,NA,4,4,4,4
626,1962,F,M,7,7,7,7,8,8,8,8
625,1780,M,M,5,5,5,5,7,7,6,7
596,1658,M,M,5,5,5,5,3,6,5,NA
447,746,M,M,3,3,3,3,5,4,4,4
626,2110,F,M,4,4,4,4,NA,NA,NA,NA
627,2198,F,M,NA,NA,NA,NA,9,8,3,NA
628,2588,F,M,6,4,6,NA,6,7,5,NA
591,1556,M,M,7,7,7,7,7,5,6,6
586,1764,M,M,5,5,5,5,5,5,4,4
578,1570,M,M,4,4,4,4,4,4,4,4
511,1114,M,M,4,4,9,4,5,6,4,5
595,1578,M,M,NA,NA,NA,NA,7,6,7,7
680,2462,U,U,NA,NA,NA,NA,7,10,5,NA
631,2180,F,M,5,5,5,5,NA,NA,NA,NA
632,2174,F,M,4,4,4,4,5,5,4,5
538,1448,M,M,4,4,4,4,NA,NA,NA,NA
553,1448,M,M,4,4,4,4,NA,NA,NA,NA
587,1672,M,M,7,6,6,NA,NA,NA,NA,NA
634,2500,F,M,7,7,7,7,NA,NA,NA,NA
635,2304,F,M,6,6,7,6,NA,NA,NA,NA
576,1634,M,M,3,3,3,3,NA,NA,NA,NA
636,2300,F,M,4,4,4,4,4,4,4,4
638,2326,F,M,7,7,7,7,NA,NA,NA,NA
639,2466,F,M,6,7,5,6,6,7,5,6
641,2450,F,M,5,5,5,5,NA,NA,NA,NA
643,2196,F,M,4,4,4,4,5,5,5,5
608,2070,M,M,6,6,6,6,NA,NA,NA,NA
646,2402,F,M,6,6,6,6,6,6,7,6
651,2742,F,M,7,7,7,7,NA,NA,NA,NA
652,2310,F,M,4,4,4,4,4,4,4,4
654,2270,F,M,5,5,4,5,4,5,4,4
654,1998,F,M,5,5,5,5,6,7,7,NA
657,2228,F,M,4,4,4,4,5,6,6,6
576,1706,M,M,4,6,4,4,NA,NA,NA,NA
645,2022,M,M,7,7,8,7,NA,NA,NA,NA
659,2374,F,M,6,6,6,6,5,5,5,5
587,1714,M,M,3,3,3,3,NA,NA,NA,NA
628,2000,M,M,NA,NA,NA,NA,NA,NA,NA,NA
661,2442,F,M,12,12,13,12,9,9,6,9
603,1676,M,M,7,7,7,7,NA,NA,NA,NA
647,2190,M,M,7,7,7,7,NA,NA,NA,NA
597,1796,M,M,10,10,9,10,NA,NA,NA,NA
535,1296,M,M,5,5,5,5,NA,NA,NA,NA
581,1526,F,I?,7,7,8,7,NA,NA,NA,NA
518,1302,M,M,5,5,5,5,NA,NA,NA,NA
665,2500,F,M,7,7,7,7,6,6,6,6
665,2796,F,M,5,5,5,5,6,6,5,6
611,1844,M,M,3,3,3,3,NA,NA,NA,NA
576,1700,M,M,5,5,5,5,NA,NA,NA,NA
665,2556,F,M,4,4,4,4,NA,NA,NA,NA
534,1212,M,M,2,3,4,2,NA,NA,NA,NA
521,1218,M,M,6,6,6,6,NA,NA,NA,NA
613,1980,M,M,4,4,5,4,NA,NA,NA,NA
574,1638,M,M,4,4,4,4,NA,NA,NA,NA
612,1740,M,M,6,7,5,NA,NA,NA,NA,NA
593,1758,M,M,4,4,4,4,NA,NA,NA,NA
621,2116,M,M,4,4,4,4,NA,NA,NA,NA
610,1836,M,M,4,4,4,4,NA,NA,NA,NA
611,1960,M,M,4,5,5,5,NA,NA,NA,NA
669,2710,F,M,3,3,3,3,4,4,4,4
671,2800,F,M,7,7,8,7,NA,NA,NA,NA
616,2058,M,M,8,9,8,8,NA,NA,NA,NA
651,2116,M,M,6,5,7,NA,NA,NA,NA,NA
558,1494,M,M,6,6,6,6,NA,NA,NA,NA
672,2602,F,M,8,8,7,8,NA,NA,NA,NA
593,1690,M,M,6,6,6,6,NA,NA,NA,NA
582,1596,M,M,4,4,4,4,NA,NA,NA,NA
609,2020,M,M,5,5,5,5,NA,NA,NA,NA
675,2534,F,M,5,5,6,5,6,7,5,6
675,2975,F,M,6,6,6,6,6,9,6,6
676,2550,F,M,5,5,6,5,6,7,5,NA
565,1584,M,M,8,7,7,8,NA,NA,NA,NA
677,2562,F,M,5,7,4,NA,7,7,4,7
645,2208,M,M,4,4,4,4,NA,NA,NA,NA
680,2640,F,M,6,4,4,NA,6,5,6,6
681,2548,F,M,5,5,5,5,6,6,6,6
551,1476,M,M,4,4,4,4,NA,NA,NA,NA
501,1132,M,M,5,5,5,5,NA,NA,NA,NA
487,988,M,M,5,5,5,5,NA,NA,NA,NA
571,1308,M,M,8,8,7,8,NA,NA,NA,NA
681,2658,F,M,5,5,5,5,5,6,5,5
616,1878,M,M,8,7,8,8,NA,NA,NA,NA
555,1530,M,M,5,5,5,5,NA,NA,NA,NA
543,1414,M,M,5,5,5,5,NA,NA,NA,NA
