id,tl,reader1A,reader1B,reader2
10102,158,8,7,8
20002,158,10,7,9
20045,158,6,5,10
50077,158,6,5,8
30285,158.44,9,8,9
30036,159.64,9,6,8
30143,159.64,9,7,10
30214,159.64,8,8,13
70011,160,9,9,9
30015,160.84,8,7,8
30033,160.84,6,6,8
30229,160.84,7,7,9
30281,160.84,9,6,7
60048,160.84,10,5,9
40377,162,6,6,8
50010,162,9,9,8
50047,162,5,5,7
50054,162,9,6,8
30026,162.04,9,7,12
20030,163,12,10,10
50032,163,9,8,11
50048,163,8,6,9
30112,163.24,11,10,10
60002,163.24,10,9,13
50006,164,8,8,8
30228,164.44,11,11,12
30275,164.44,9,8,12
10004,165,9,10,10
50075,165,9,10,9
30023,165.64,8,8,11
30032,165.64,10,7,10
30220,165.64,8,8,10
60008,165.64,8,7,9
60009,165.64,10,10,10
10063,166,10,9,11
50002,166,9,7,9
50013,166,9,10,10
60032,166.84,8,7,9
60033,166.84,8,7,10
10072,167,8,8,12
20001,167,18,17,16
20072,168,10,8,11
50021,168,9,9,9
30046,168.04,10,11,10
20054,169,8,8,11
60004,169.24,8,5,10
60010,169.24,9,6,12
60041,169.24,8,6,8
10006,170,10,10,11
10022,170,8,8,10
20018,170,15,14,16
20026,170,9,9,9
50059,170,8,8,12
30184,170.44,7,7,10
30280,170.44,8,9,9
30111,171.64,11,8,12
60026,171.64,6,5,7
20031,172,9,9,9
20048,172,10,9,10
50005,172,9,9,10
60052,172.84,8,9,12
10046,173,9,9,14
50072,173,7,7,12
10029,174,9,9,10
30173,174.04,10,8,11
60034,174.04,9,7,10
30135,175.24,12,12,15
30174,175.24,12,10,12
30269,175.24,9,9,15
60011,175.24,10,6,10
60057,175.24,9,5,8
50016,176,8,8,10
30258,176.44,10,8,12
40320,177,7,6,7
30010,177.64,12,12,11
30268,177.64,10,10,13
30284,177.64,9,9,12
10001,178,8,8,12
10002,178,8,13,13
10033,178,13,12,17
30099,178.84,10,9,11
50015,179,9,9,9
10026,180,11,10,11
10032,180,9,8,12
40314,180,4,2,6
10030,181,12,13,13
50056,181,11,7,10
60007,181.24,8,5,10
40366,182,11,8,8
10039,183,9,9,13
30242,183.64,8,8,11
50024,184,9,8,11
30215,184.84,11,9,11
20042,185,10,10,14
40303,185,9,10,10
30086,187.24,10,9,15
40308,188,9,10,10
40342,188,9,8,12
40348,188,10,10,12
30182,188.44,12,11,14
10104,189,10,12,12
30154,190.84,11,11,13
30189,190.84,11,10,12
30212,190.84,12,12,11
30270,190.84,11,11,12
70027,192,17,11,14
30087,193.24,10,10,14
30105,194.44,15,10,14
30196,194.44,13,11,16
30249,194.44,12,10,14
10009,195,12,13,15
30144,195.64,11,11,15
30218,195.64,10,9,11
20046,196,13,12,17
40365,196,10,9,11
30248,196.84,12,12,12
50051,197,14,8,12
20091,198,14,13,14
50080,198,8,8,12
30083,198.04,10,10,15
30079,199.24,11,11,15
30093,199.24,7,8,9
60016,199.24,10,8,14
10034,200,9,9,12
10043,200,9,10,8
40319,200,10,9,14
40386,200,12,11,13
60022,200.44,15,14,16
50003,201,13,9,12
10089,202,14,12,17
10101,202,11,10,13
40364,204,10,10,12
10021,205,12,10,15
40381,205,14,13,13
50045,205,9,11,13
30176,205.24,12,11,14
20016,206,14,15,17
20085,206,13,14,15
20089,206,15,13,14
40317,206,11,10,10
40380,206,9,8,12
70012,206,10,11,12
30043,206.44,14,11,16
10023,207,14,20,14
40385,207,9,9,13
50100,207,14,13,14
30188,207.64,13,10,14
10053,208,12,15,13
20115,208,12,13,17
40313,208,11,10,12
40384,208,13,12,13
50004,208,15,10,12
40344,209,14,11,15
10065,210,12,13,13
20017,210,13,13,17
40307,210,14,13,12
70037,210,10,10,15
30020,210.04,16,14,12
30107,210.04,13,14,15
10027,211,12,12,14
50087,211,11,11,15
30005,211.24,15,12,13
30016,211.24,13,11,14
40367,212,12,10,12
30011,212.44,16,12,16
30223,212.44,15,15,15
10070,213,13,15,18
50008,213,12,12,16
40360,214,12,12,12
10037,216,13,16,16
10058,216,16,16,17
10105,216,14,14,15
20019,216,21,23,24
40327,216,13,12,13
10003,217,12,13,17
10020,217,18,19,18
10060,217,12,18,19
10064,217,11,11,19
50084,217,17,10,15
70058,217,17,19,21
30012,217.24,16,12,18
30098,217.24,14,11,16
30118,217.24,17,12,16
30250,217.24,15,13,15
10082,218,13,14,14
20118,218,17,19,19
40387,218,14,11,13
30172,218.44,16,15,15
30194,218.44,17,14,16
40345,219,11,12,15
30192,219.64,14,13,13
10068,220,13,15,21
40301,220,12,14,15
30155,220.84,19,15,15
30219,220.84,17,18,15
30273,220.84,13,11,16
10041,222,13,16,16
40383,222,12,11,12
50014,222,14,12,15
30177,222.04,18,17,17
10103,223,15,14,18
42376,223,19,19,19
70010,223,12,10,16
70036,223,12,16,13
30138,223.24,16,15,15
10071,224,14,16,16
70013,224,18,12,18
30164,224.44,17,19,17
30233,224.44,16,16,16
30279,224.44,18,17,17
20095,225,15,13,16
40351,225,17,16,16
50090,225,16,18,17
50094,226,14,13,16
30104,226.84,16,17,16
30186,226.84,17,21,19
50007,227,14,12,12
10061,228,18,18,20
20093,228,13,12,16
30148,228.04,19,17,15
50058,229,14,13,14
30257,229.24,22,15,16
20083,230,14,12,17
20084,230,17,17,18
40339,230,12,11,13
40375,230,17,15,17
70045,230,16,12,15
30181,230.44,19,16,17
10038,232,17,18,18
40382,232,16,16,16
30222,232.84,18,17,20
10108,233,13,16,17
50086,234,21,22,24
70039,235,23,24,29
10078,236,15,16,23
30021,236.44,17,15,20
10047,238,18,18,22
10076,238,17,16,18
40310,238,19,18,18
30027,238.84,21,19,16
10040,239,16,16,20
10067,239,16,18,19
20076,239,16,17,19
10125,240,17,18,24
20081,241,13,15,16
30198,241.24,23,17,18
50114,242,14,14,14
40349,246,16,18,20
20082,247,22,22,24
50092,247,18,21,18
40390,249,21,16,21
40368,250,17,16,16
40391,253,22,22,23
30014,271.24,24,23,23
20121,298,13,10,14
