species,id,tl,wt,true_Age,oto_Tim,oto_Bryant,anal_MQ,anal_ZK,dorsal_MQ,dorsal_ZK,oto_C,anal_C,dorsal_C,otoConf_Tim,otoConf_Bryant,analConf_MQ,analConf_ZK,dorsalConf_MQ,dorsalConf_ZK
LMB,72,566,3242,8,8,8,5,5,6,6,8,5,6,2,1,1,2,0,0
LMB,73,492,2000,NA,6,6,4,5,7,7,6,5,7,3,3,0,1,0,0
LMB,74,500,2033,8,8,8,6,6,7,7,8,6,7,3,3,0,0,0,0
LMB,75,497,1934,8,8,8,6,6,7,7,8,6,7,3,3,3,3,2,1
LMB,76,615,4066,8,8,8,7,6,9,10,8,7,10,3,3,1,1,0,0
LMB,77,590,3520,8,8,8,7,7,6,6,8,7,6,3,3,0,0,2,2
LMB,78,610,4531,9,9,9,6,6,8,8,9,6,8,2,2,0,0,0,0
LMB,79,505,2540,8,7,7,4,4,4,4,7,4,4,3,3,1,2,2,2
LMB,80,575,3243,8,8,8,6,7,6,6,8,6,6,3,3,1,1,2,2
LMB,81,435,1394,NA,4,4,4,4,3,4,4,4,3,3,3,0,0,0,0
LMB,82,540,3414,9,9,9,7,7,6,6,9,7,6,3,3,1,1,0,1
LMB,83,600,3800,8,8,8,5,5,6,6,8,5,6,3,3,0,0,1,0
LMB,84,452,1933,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1
LMB,85,550,2900,8,8,8,6,6,7,6,8,6,7,3,3,1,0,0,0
LMB,86,545,2646,8,8,8,4,4,8,8,8,4,8,3,3,1,1,0,0
LMB,87,590,4008,8,8,8,6,6,8,8,8,6,8,3,3,2,1,0,0
LMB,88,550,3318,8,8,8,8,7,7,6,8,8,7,3,3,1,1,0,0
LMB,89,540,3307,9,9,9,8,7,4,4,9,8,4,3,3,0,0,1,1
LMB,90,580,3489,8,8,8,5,4,8,9,8,5,9,3,3,0,0,0,0
LMB,91,540,3040,9,9,9,5,5,6,6,9,5,6,3,3,2,1,0,0
LMB,92,525,2862,8,8,8,7,7,7,7,8,7,7,3,3,2,3,0,1
LMB,93,525,2185,8,8,8,6,6,7,6,8,6,7,3,3,1,1,0,0
LMB,94,533,2397,8,8,8,5,5,7,7,8,5,7,3,3,0,0,0,0
LMB,95,340,636,1,1,1,4,4,3,3,1,4,3,3,3,2,1,0,0
LMB,96,472,2285,3,3,3,5,5,4,4,3,5,4,3,3,3,3,0,0
LMB,97,560,3564,7,7,7,6,6,7,7,7,6,7,3,3,1,0,0,0
LMB,98,522,3024,8,8,8,6,6,7,6,8,6,7,3,3,1,1,0,0
LMB,99,406,1240,NA,3,3,NA,NA,NA,NA,3,NA,NA,3,3,NA,NA,NA,NA
LMB,100,590,3935,7,7,7,6,6,7,7,7,6,7,3,3,1,1,0,0
LMB,101,535,2944,7,7,7,6,6,8,8,7,6,8,3,3,2,1,2,2
LMB,102,472,1960,5,5,5,5,4,6,6,5,5,6,3,3,1,1,2,1
