age_Aaron,age_Tony,strux,year
4,4,spines,2007
6,6,spines,2007
4,2,spines,2007
2,2,spines,2007
8,8,spines,2007
2,2,spines,2007
7,6,spines,2007
5,6,spines,2007
4,3,spines,2007
4,5,spines,2007
3,3,spines,2007
3,3,spines,2007
4,5,spines,2007
2,5,spines,2007
2,1,spines,2007
4,3,spines,2007
3,4,spines,2007
6,5,spines,2007
1,1,spines,2007
1,2,spines,2007
6,5,spines,2007
3,3,spines,2007
6,6,spines,2007
1,2,spines,2007
5,5,spines,2007
3,4,spines,2007
2,3,spines,2007
2,3,spines,2007
4,4,spines,2007
5,5,spines,2007
2,3,spines,2007
3,3,spines,2007
2,3,spines,2007
3,4,spines,2007
2,2,spines,2007
4,4,spines,2007
5,6,spines,2007
4,4,spines,2007
6,5,spines,2007
3,4,spines,2007
3,3,spines,2007
6,5,spines,2007
5,4,spines,2007
12,13,spines,2007
4,4,spines,2007
4,4,spines,2007
4,4,spines,2007
6,5,spines,2007
5,4,spines,2007
2,2,spines,2007
10,8,spines,2007
5,5,spines,2007
3,3,spines,2007
2,3,spines,2007
4,3,spines,2007
3,2,spines,2007
2,3,spines,2007
5,5,spines,2007
6,5,spines,2007
3,3,spines,2007
5,4,spines,2007
3,2,spines,2007
10,8,spines,2007
3,2,spines,2007
11,8,spines,2007
6,5,spines,2007
4,3,spines,2007
3,3,spines,2007
2,2,spines,2007
4,4,spines,2007
3,2,spines,2007
4,3,spines,2007
4,3,spines,2007
3,2,spines,2007
4,5,spines,2007
3,3,spines,2007
4,4,spines,2007
6,5,spines,2007
2,3,spines,2007
8,8,spines,2007
5,5,spines,2007
2,2,spines,2007
2,2,spines,2007
5,5,spines,2007
3,4,spines,2007
4,4,spines,2007
3,2,spines,2007
3,2,spines,2007
1,1,spines,2007
2,3,spines,2007
5,5,spines,2007
6,7,spines,2007
9,9,spines,2007
4,4,spines,2007
10,9,spines,2007
5,4,spines,2007
4,3,spines,2007
4,3,spines,2007
4,4,spines,2007
3,2,spines,2007
4,4,spines,2007
4,5,spines,2007
5,5,spines,2007
4,4,spines,2007
6,5,spines,2007
4,4,spines,2007
3,3,spines,2007
3,3,spines,2007
3,3,spines,2007
4,3,spines,2007
4,3,spines,2007
4,3,spines,2007
3,3,spines,2007
5,6,spines,2007
4,4,spines,2007
5,5,spines,2007
5,4,spines,2007
4,4,spines,2007
2,2,spines,2007
4,3,spines,2007
5,4,spines,2007
3,3,spines,2007
4,7,spines,2007
5,5,spines,2007
4,4,spines,2007
5,5,spines,2007
3,3,spines,2007
5,5,spines,2007
8,7,spines,2007
6,5,spines,2007
5,5,spines,2007
7,7,spines,2007
4,4,spines,2007
3,2,spines,2007
6,5,spines,2007
4,4,spines,2007
4,4,spines,2007
3,2,spines,2007
8,6,spines,2007
5,5,spines,2007
4,4,spines,2007
9,9,spines,2007
4,4,spines,2007
5,4,spines,2007
7,7,spines,2007
8,9,spines,2007
3,2,spines,2007
4,4,spines,2007
7,7,spines,2007
6,5,spines,2007
6,5,spines,2007
6,5,spines,2007
4,3,spines,2007
12,12,spines,2007
6,6,spines,2007
8,7,spines,2007
5,4,spines,2007
5,4,spines,2007
5,5,spines,2007
5,4,spines,2007
8,7,spines,2007
3,3,spines,2007
2,2,spines,2007
4,4,spines,2007
4,3,spines,2007
8,8,spines,2007
6,6,spines,2007
6,6,spines,2007
3,2,spines,2007
5,4,spines,2007
3,3,spines,2007
4,5,spines,2007
4,4,spines,2007
4,3,spines,2007
5,4,spines,2007
5,4,spines,2007
4,4,spines,2007
4,3,spines,2007
9,8,spines,2007
0,1,spines,2007
1,1,spines,2007
1,1,spines,2007
1,1,spines,2007
0,0,spines,2007
3,3,spines,2007
0,1,spines,2007
0,0,spines,2007
2,2,spines,2007
0,1,spines,2007
0,1,spines,2007
1,1,spines,2007
2,2,spines,2007
3,2,spines,2007
0,1,spines,2007
2,2,spines,2007
1,1,spines,2007
1,1,spines,2007
2,2,spines,2007
1,1,spines,2007
1,1,spines,2007
0,1,spines,2007
0,1,spines,2007
0,1,spines,2007
1,1,spines,2007
2,3,spines,2007
1,0,spines,2007
1,1,spines,2007
2,2,spines,2007
2,2,spines,2007
1,1,spines,2007
2,2,spines,2007
1,1,spines,2007
0,1,spines,2007
0,0,spines,2007
0,1,spines,2007
1,1,spines,2007
0,1,spines,2007
2,2,spines,2007
1,0,spines,2007
1,1,spines,2007
3,2,spines,2007
0,1,spines,2007
1,1,spines,2007
1,1,spines,2007
0,1,spines,2007
1,1,spines,2007
1,1,spines,2007
2,2,spines,2007
2,2,spines,2007
2,1,spines,2007
1,1,spines,2007
1,1,spines,2007
1,1,spines,2007
1,1,spines,2007
1,1,spines,2007
2,1,spines,2007
0,0,spines,2007
1,1,spines,2007
0,0,spines,2007
0,1,spines,2007
1,1,spines,2007
1,1,spines,2007
3,2,spines,2007
0,0,spines,2007
1,1,spines,2007
3,2,spines,2007
2,1,spines,2007
2,1,spines,2007
3,2,spines,2007
3,2,spines,2007
3,2,spines,2007
0,1,spines,2007
3,4,spines,2008
3,3,spines,2008
1,1,spines,2008
3,3,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
0,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
5,4,spines,2008
2,2,spines,2008
2,3,spines,2008
2,2,spines,2008
3,4,spines,2008
3,3,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
1,2,spines,2008
2,2,spines,2008
2,2,spines,2008
2,2,spines,2008
1,1,spines,2008
2,3,spines,2008
2,2,spines,2008
1,1,spines,2008
3,3,spines,2008
5,3,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
4,3,spines,2008
2,2,spines,2008
3,3,spines,2008
2,3,spines,2008
3,3,spines,2008
2,2,spines,2008
4,3,spines,2008
6,6,spines,2008
4,5,spines,2008
2,2,spines,2008
2,2,spines,2008
3,3,spines,2008
2,2,spines,2008
2,2,spines,2008
1,1,spines,2008
2,3,spines,2008
3,3,spines,2008
3,2,spines,2008
3,3,spines,2008
1,2,spines,2008
2,3,spines,2008
3,3,spines,2008
3,3,spines,2008
2,3,spines,2008
5,5,spines,2008
2,3,spines,2008
2,3,spines,2008
3,2,spines,2008
3,3,spines,2008
2,2,spines,2008
1,2,spines,2008
6,6,spines,2008
3,3,spines,2008
3,3,spines,2008
2,2,spines,2008
5,5,spines,2008
5,5,spines,2008
2,2,spines,2008
2,4,spines,2008
4,4,spines,2008
2,2,spines,2008
12,11,spines,2008
7,7,spines,2008
4,5,spines,2008
3,4,spines,2008
5,5,spines,2008
1,1,spines,2008
2,2,spines,2008
3,2,spines,2008
1,2,spines,2008
1,1,spines,2008
4,5,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
6,6,spines,2008
2,3,spines,2008
5,1,spines,2008
3,2,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
1,1,spines,2008
2,2,spines,2008
1,1,spines,2008
3,3,spines,2008
2,2,spines,2008
2,2,spines,2008
2,3,spines,2008
4,4,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
2,2,spines,2008
2,2,spines,2008
2,2,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
1,1,spines,2008
2,2,spines,2008
2,2,spines,2008
2,2,spines,2008
1,1,spines,2008
1,2,spines,2008
1,1,spines,2008
2,2,spines,2008
1,1,spines,2008
2,2,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
3,3,spines,2008
1,2,spines,2008
3,3,spines,2008
3,3,spines,2008
4,4,spines,2008
3,2,spines,2008
4,4,spines,2008
3,3,spines,2008
4,4,spines,2008
3,3,spines,2008
3,2,spines,2008
1,1,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
3,3,spines,2008
2,3,spines,2008
2,2,spines,2008
2,2,spines,2008
2,3,spines,2008
2,2,spines,2008
2,2,spines,2008
2,2,spines,2008
5,5,spines,2008
5,4,spines,2008
4,4,spines,2008
6,6,spines,2008
7,8,spines,2008
2,3,spines,2008
3,3,spines,2008
2,3,spines,2008
4,4,spines,2008
2,2,spines,2008
5,5,spines,2008
2,3,spines,2008
3,3,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
7,7,spines,2008
6,6,spines,2008
5,5,spines,2008
5,5,spines,2008
6,7,spines,2008
3,3,spines,2008
3,3,spines,2008
2,3,spines,2008
2,3,spines,2008
5,5,spines,2008
4,4,spines,2008
4,4,spines,2008
4,5,spines,2008
2,3,spines,2008
4,4,spines,2008
3,3,spines,2008
5,4,spines,2008
6,6,spines,2008
4,5,spines,2008
5,5,spines,2008
8,8,spines,2008
4,4,spines,2008
4,4,spines,2008
3,3,spines,2008
2,3,spines,2008
3,3,spines,2008
4,4,spines,2008
2,2,spines,2008
3,3,spines,2008
4,4,spines,2008
3,3,spines,2008
2,3,spines,2008
2,3,spines,2008
4,4,spines,2008
3,3,spines,2008
7,7,spines,2008
3,3,spines,2008
4,5,spines,2008
4,4,spines,2008
4,4,spines,2008
5,5,spines,2008
3,3,spines,2008
6,5,spines,2008
6,6,spines,2008
2,2,spines,2008
1,1,spines,2008
4,4,spines,2008
3,3,spines,2008
3,4,spines,2008
4,4,spines,2008
4,5,spines,2008
7,7,spines,2008
5,5,spines,2008
5,5,spines,2008
3,3,spines,2008
1,1,spines,2008
1,1,spines,2008
2,2,spines,2008
1,2,spines,2008
1,1,spines,2008
3,3,spines,2008
2,3,spines,2008
3,3,spines,2008
2,3,spines,2008
5,4,spines,2008
2,2,spines,2008
3,3,spines,2008
4,3,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
3,3,spines,2008
6,7,spines,2008
3,5,spines,2008
3,6,spines,2008
5,5,spines,2008
2,2,spines,2008
1,1,spines,2008
2,2,spines,2008
2,2,spines,2008
2,2,spines,2008
1,2,spines,2008
2,2,spines,2008
3,3,spines,2008
2,3,spines,2008
2,4,spines,2008
2,3,spines,2008
3,3,spines,2008
2,3,spines,2008
4,4,spines,2008
2,3,spines,2008
4,4,spines,2008
2,3,spines,2008
3,3,spines,2008
2,3,spines,2008
3,3,spines,2008
2,2,spines,2008
1,2,spines,2008
2,2,spines,2008
3,3,spines,2008
6,6,spines,2008
3,3,spines,2008
4,4,spines,2008
3,4,spines,2008
4,3,spines,2008
2,3,spines,2008
3,3,spines,2008
4,6,spines,2008
3,4,spines,2008
3,3,spines,2008
3,3,spines,2008
2,2,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
3,3,spines,2008
4,3,spines,2008
4,3,spines,2008
3,3,spines,2008
6,5,spines,2008
2,2,spines,2008
3,3,spines,2008
1,2,spines,2008
6,6,spines,2008
7,7,spines,2008
6,8,spines,2008
4,5,spines,2008
2,3,spines,2008
2,2,spines,2008
2,3,spines,2008
3,3,spines,2008
3,3,spines,2008
1,1,spines,2008
2,3,spines,2008
5,5,spines,2008
7,8,spines,2008
3,3,spines,2008
3,3,spines,2008
2,3,spines,2008
3,3,spines,2008
4,4,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
5,5,spines,2008
3,4,spines,2008
1,1,spines,2008
1,1,spines,2008
5,5,spines,2008
1,1,spines,2008
3,3,spines,2008
1,1,spines,2008
1,1,spines,2008
1,1,spines,2008
5,5,spines,2008
1,1,spines,2008
2,3,spines,2008
2,2,spines,2008
1,1,spines,2008
4,5,spines,2008
1,1,spines,2008
5,5,spines,2008
11,11,spines,2008
3,3,spines,2008
7,6,spines,2008
3,2,spines,2008
