id,reader1,reader2
200876,0,0
210354,6,4
230256,0,0
10478,0,0
210505,0,0
230229,3,2
210389,0,1
230228,0,0
240197,0,0
210427,0,0
240281,0,0
210379,0,0
20556,0,0
230258,5,4
210378,0,1
180033,9,9
200785,8,7
230266,10,NA
200799,6,NA
230255,6,6
20564,7,4
210393,9,6
230195,8,4
210395,7,3
230225,6,3
230157,1,1
230233,8,8
230189,6,7
230211,6,8
10800,0,0
210359,0,0
230235,0,0
230221,6,4
20541,2,1
230155,0,0
210387,2,2
10468,0,0
240152,3,2
240153,1,1
230216,1,1
20553,0,0
180748,0,0
10459,2,2
240154,0,0
210381,3,3
210391,1,1
200875,0,0
230169,4,3
200864,0,3
210435,0,0
210426,2,1
210406,0,0
210425,4,2
180749,0,0
230167,0,0
230217,4,6
230190,5,5
230269,5,4
210351,6,5
240262,6,4
230173,2,NA
230224,6,5
230192,6,6
230174,8,6
230212,6,8
20559,7,9
230191,6,9
200803,0,0
230172,7,8
200787,7,5
230231,7,6
200786,6,6
240166,8,4
210352,5,5
20580,9,8
100682,5,6
230257,5,7
210382,10,9
230210,6,NA
230270,6,5
230230,5,5
230259,7,5
230162,5,6
100637,2,2
210392,3,3
20540,0,0
210405,0,0
230170,4,3
20581,0,0
180750,0,0
210349,4,3
20536,0,2
200865,0,0
210472,0,0
210380,0,0
240260,0,0
210350,8,8
210394,9,6
230220,6,5
210366,8,7
240176,7,7
230232,8,6
230236,0,0
210448,9,7
200818,6,6
240163,8,8
230188,0,0
240276,0,0
210440,2,1
240191,0,0
240212,0,0
10754,0,0
180029,0,0
200834,0,0
180046,0,0
20552,1,1
230171,0,0
20554,0,0
230234,1,1
210503,0,0
200793,1,1
210447,2,1
210388,0,0
210436,0,0
210506,0,0
100679,0,0
230156,1,1
210446,6,4
230261,5,4
240237,5,3
210504,0,0
