id,tl,wt,branchio_MT,branchio_ZK,branchio_CONSENSUS,finrays_MT,finrays_ZK,finrays_CONSENSUS,otoliths_MT,otoliths_ZK,otoliths_CONSENSUS
203,826,NA,4,4,4,10,10,10,11,11,11
204,323,180.2,5,4,5,3,3,3,3,3,3
205,385,319.2,4,4,4,2,2,2,2,2,2
206,355,NA,2,1,2,1,1,1,3,3,3
207,355,323.7,1,2,2,0,0,0,3,3,3
208,485,NA,5,5,5,3,2,2,7,6,7
209,410,453.6,7,7,7,4,4,4,6,6,6
210,307,194.6,2,2,2,0,1,1,3,3,3
211,675,2191.8,9,8,8,7,7,7,10,10,10
212,555,582.1,5,6,6,4,4,4,6,6,6
213,473,NA,4,4,4,3,3,3,5,6,6
214,443,407.3,5,5,5,4,4,4,6,6,6
