id,species,tl,scales_R1,scales_R2,scales_R3,wholeoto_R1,wholeoto_R2,wholeoto_R3,sectoto_R1,sectoto_R2,sectoto_R3
50297_1_2,LMB,210,NA,NA,NA,1,1,1,1,1,1
50297_1_3,LMB,399,NA,NA,NA,5,4,5,5,5,4
50297_3_1,LMB,121,NA,NA,NA,1,0,0,1,1,0
50397_8_5,LMB,102,0,0,1,1,0,1,0,0,0
50397_10_1,LMB,442,4,5,5,5,6,5,6,6,6
50397_10_2,LMB,125,1,0,1,1,0,1,0,1,1
50397_10_4,LMB,167,1,0,1,3,1,2,0,1,1
50397_10_5,LMB,335,3,2,3,3,2,3,3,2,2
50397_10_6,LMB,243,2,2,2,1,1,2,2,1,1
50397_10_8,LMB,423,4,4,4,4,4,4,4,4,4
50397_10_9,LMB,529,6,5,7,6,5,6,6,6,6
50497_11_1,LMB,275,2,1,2,2,1,2,1,2,1
50497_12_1,LMB,125,0,0,0,1,0,1,0,0,0
50497_12_2,LMB,110,0,0,0,1,0,1,1,1,0
50497_13_2,LMB,196,2,2,2,1,1,1,1,2,1
50497_13_3,LMB,134,0,0,0,1,0,1,0,0,0
50497_13_7,LMB,592,9,8,7,9,9,9,9,9,9
50997_2_1,LMB,356,3,2,2,2,2,2,3,2,2
50997_4_1,LMB,385,4,4,4,3,3,3,4,3,3
50997_6_1,LMB,188,3,2,2,1,2,1,2,2,2
51097_1_1,LMB,243,3,1,2,1,1,1,1,1,2
51097_1_4,LMB,454,5,4,7,7,5,7,6,6,6
51097_3_1,LMB,139,2,1,1,2,1,2,1,1,1
51097_4_4,LMB,263,3,2,2,1,1,2,2,2,1
51497_1_1,LMB,201,1,0,2,2,2,2,1,1,1
51497_1_2,LMB,245,2,1,1,2,2,2,2,2,1
51497_1_3,LMB,110,NA,NA,NA,1,1,1,1,1,1
51497_1_4,LMB,221,1,1,1,2,1,2,2,2,2
51497_1_7,LMB,515,6,6,5,8,5,7,7,7,7
51497_3_5,LMB,360,2,2,2,2,2,2,2,2,2
51497_3_6,LMB,324,2,2,3,3,2,3,2,2,2
52097_1_6,LMB,451,4,4,4,4,3,4,4,4,4
52097_1_7,LMB,260,2,1,2,2,1,2,2,2,1
52097_2_10,LMB,272,4,2,2,2,2,2,2,1,1
52097_2_2,LMB,241,2,1,2,2,1,2,2,2,1
52097_2_3,LMB,461,7,7,6,5,5,5,6,6,5
52097_2_4,LMB,183,2,0,1,2,1,1,1,1,1
52097_2_6,LMB,213,4,2,2,2,1,2,1,2,1
52097_2_7,LMB,298,3,3,3,3,2,3,2,2,1
52097_2_8,LMB,413,5,4,3,3,3,3,4,3,3
52097_3_6,LMB,340,NA,NA,NA,2,2,2,2,3,2
42597_1_1,SMB,434,4,3,3,6,6,6,6,6,6
42597_1_2,SMB,159,0,0,0,2,0,1,0,0,0
42597_1_3,SMB,360,4,4,3,3,2,3,3,3,3
42597_1_4,SMB,209,2,1,2,1,1,1,1,1,1
42597_1_5,SMB,230,1,1,1,1,1,1,2,1,1
42597_1_6,SMB,114,0,0,0,1,0,1,1,1,0
50397_8_2,SMB,264,1,1,1,2,2,2,2,2,1
50397_8_4,SMB,199,1,1,1,2,1,2,1,2,1
50397_8_7,SMB,360,3,3,1,3,2,3,2,2,2
50497_11_2,SMB,110,0,0,0,0,0,0,0,1,0
50497_11_4,SMB,118,0,0,0,0,0,0,0,0,0
50497_11_8,SMB,247,2,1,1,2,2,2,1,1,1
50497_12_10,SMB,216,1,1,1,2,1,2,1,1,1
50497_12_11,SMB,135,0,0,0,1,0,1,1,0,0
50497_13_4,SMB,340,2,2,2,3,2,3,2,2,2
50497_13_6,SMB,168,1,1,1,1,1,1,1,1,1
50497_14_1,SMB,320,2,2,3,2,2,2,2,2,2
50497_14_3,SMB,316,2,2,2,2,2,2,2,2,2
51097_1_2,SMB,463,6,5,6,6,5,5,6,6,6
51097_3_4,SMB,238,2,1,1,1,1,1,2,1,1
51497_5_5,SMB,334,2,2,2,2,2,2,3,2,2
51597_2_1,SMB,388,2,3,3,3,3,3,4,4,3
52097_3_5,SMB,335,3,2,4,2,2,2,2,2,2
50297_4_1,SPB,215,NA,NA,NA,1,0,1,2,1,1
50297_4_2,SPB,198,NA,NA,NA,2,1,2,2,2,1
50297_6_1,SPB,237,NA,NA,NA,1,1,1,2,1,1
50297_6_2,SPB,262,NA,NA,NA,1,1,1,1,1,1
50297_6_3,SPB,358,NA,NA,NA,5,5,4,5,5,5
50397_7_1,SPB,109,0,1,1,1,0,1,0,1,0
50397_8_3,SPB,239,1,1,1,2,1,2,2,2,1
50397_8_6,SPB,179,2,1,2,1,1,2,1,1,1
50397_10_3,SPB,96,NA,NA,NA,1,0,1,0,0,0
50397_10_7,SPB,186,2,2,2,2,1,2,0,1,1
50497_11_5,SPB,106,0,0,0,1,0,1,0,0,0
50497_11_6,SPB,135,1,0,0,1,0,1,0,0,0
50497_12_3,SPB,236,2,1,1,2,1,1,1,2,1
50497_12_4,SPB,337,3,3,4,3,2,3,3,3,3
50497_12_5,SPB,308,2,2,2,2,2,2,2,2,2
50497_12_6,SPB,190,1,1,1,2,0,2,0,1,1
50497_12_7,SPB,213,2,1,3,1,1,1,1,2,1
50497_12_9,SPB,205,2,2,2,2,0,2,1,0,1
50497_13_1,SPB,232,2,1,1,2,1,2,1,1,1
50497_13_5,SPB,255,2,2,2,2,1,2,1,1,1
50497_14_2,SPB,116,0,0,0,1,0,1,0,0,0
50497_14_4,SPB,205,2,1,1,2,1,1,0,0,0
50497_14_6,SPB,211,1,1,1,1,1,1,0,1,1
50997_3_1,SPB,210,2,1,1,2,2,2,2,1,1
50997_5_1,SPB,184,2,1,2,3,1,3,2,1,1
50997_5_2,SPB,199,3,1,2,1,1,1,2,2,2
50997_6_2,SPB,179,1,1,2,2,1,2,2,2,1
50997_6_3,SPB,368,8,6,5,4,4,4,6,5,5
51097_1_3,SPB,220,2,1,2,1,1,1,1,1,1
51097_2_1,SPB,278,2,2,2,3,2,3,2,2,2
51097_2_2,SPB,280,3,2,3,3,1,2,3,2,2
51097_2_3,SPB,180,1,1,1,3,1,2,2,1,1
51097_3_2,SPB,367,6,4,6,5,4,4,5,5,5
51097_3_3,SPB,319,6,3,5,3,3,3,4,3,3
51097_4_2,SPB,300,5,2,3,3,1,3,3,2,2
51497_1_6,SPB,305,3,3,3,3,2,3,3,3,2
51497_1_8,SPB,235,1,1,1,2,1,2,2,1,1
51497_1_9,SPB,260,3,2,3,2,2,2,2,2,2
51497_2_3,SPB,134,1,0,1,2,1,2,1,1,0
51497_2_4,SPB,319,3,3,3,4,4,4,4,4,4
51497_2_5,SPB,241,1,1,1,2,1,2,2,1,1
51497_3_1,SPB,87,0,0,0,0,0,0,0,0,0
51497_3_2,SPB,115,NA,NA,NA,1,0,1,0,0,0
51497_3_3,SPB,124,1,0,1,1,0,1,0,0,1
51497_5_1,SPB,96,NA,NA,NA,0,0,0,0,0,1
51497_5_2,SPB,350,4,4,5,3,3,3,4,4,4
51497_5_4,SPB,99,0,0,1,0,0,0,0,0,0
51497_5_6,SPB,97,0,0,0,0,0,0,0,0,0
51497_5_8,SPB,108,1,0,0,0,0,0,0,0,0
52097_1_2,SPB,211,2,2,2,2,1,2,2,2,1
52097_1_2,SPB,211,2,1,2,2,1,2,2,2,1
52097_1_4,SPB,298,4,2,3,2,2,2,2,2,2
52097_3_2,SPB,158,2,1,2,3,1,3,2,2,1
52097_3_3,SPB,227,2,1,1,1,1,1,1,1,1
52097_3_3,SPB,227,4,4,4,1,1,1,1,1,1
52097_3_8,SPB,370,NA,NA,NA,5,4,5,6,5,5
52097_4_1,SPB,335,6,4,3,3,3,3,4,4,3
52097_4_1,SPB,335,3,1,2,3,3,3,4,4,3
40499_1_1,LMB,154,1,0,0,1,0,0,1,0,0
40499_1_10,LMB,330,2,3,3,2,3,2,2,2,2
40499_1_11,SPB,234,2,3,2,1,2,2,1,1,1
40499_1_12,LMB,240,1,2,2,2,2,2,2,1,1
40499_1_13,LMB,285,2,2,1,2,2,2,1,1,1
40499_1_14,LMB,323,4,4,4,2,3,3,2,2,2
40499_1_15,LMB,293,3,3,2,2,2,2,1,2,1
40499_1_16,LMB,273,1,3,2,1,1,1,1,1,1
40499_1_17,LMB,128,0,0,0,1,1,1,1,0,0
40499_1_18,LMB,193,1,2,2,1,1,1,1,1,1
40499_1_2,LMB,272,3,2,3,2,2,2,2,2,2
40499_1_3,LMB,235,3,3,3,2,2,2,2,2,2
40499_1_4,LMB,515,6,6,6,7,5,6,7,7,7
40499_1_5,LMB,252,2,2,1,2,2,2,1,1,1
40499_1_6,LMB,280,3,2,1,2,2,2,2,2,2
40499_1_7,SPB,222,2,2,2,2,3,2,2,2,2
40499_1_8,LMB,462,5,4,4,4,4,4,4,5,4
40499_1_9,LMB,473,6,6,5,6,5,6,6,6,6
40499_2_1,SPB,301,3,3,4,2,3,2,2,3,3
40499_2_2,SPB,359,3,3,3,4,5,5,5,5,5
40499_2_3,SMB,224,1,2,1,2,2,1,1,1,1
40499_2_5,SMB,144,0,0,0,0,0,0,0,0,0
40499_2_6,SPB,253,2,2,3,1,1,1,2,1,1
40499_2_7,SPB,246,1,2,1,2,1,2,1,1,1
40499_2_8,SPB,310,3,2,2,2,2,2,2,2,3
40499_2_9,SMB,285,2,2,1,2,2,2,1,1,1
40499_3_1,LMB,278,2,2,2,2,3,NA,2,1,2
40499_3_10,SMB,232,1,1,1,2,1,1,1,1,0
40499_3_11,SPB,200,1,1,1,2,1,2,2,1,1
40499_3_2,LMB,156,0,1,0,1,0,1,0,0,0
40499_3_3,LMB,175,0,1,1,1,0,1,1,0,1
40499_3_4,SMB,145,0,1,0,1,0,0,0,0,0
40499_3_5,SMB,224,1,1,1,1,1,1,1,1,1
40499_3_6,SPB,209,1,1,1,1,1,1,1,1,1
40499_3_7,SMB,222,2,1,1,1,1,1,1,1,0
40499_3_8,SPB,222,1,2,1,1,1,0,2,1,1
40499_4_1,SMB,455,3,4,4,4,4,4,1,3,3
40499_4_10,SMB,250,2,2,1,2,2,2,2,3,3
40499_4_11,SPB,283,2,2,3,2,2,2,1,1,1
40499_4_12,SMB,228,2,1,1,2,2,2,1,1,0
40499_4_13,SMB,338,3,2,2,3,4,3,3,2,2
40499_4_14,SPB,243,2,2,1,2,2,2,1,1,1
40499_4_2,SMB,255,1,2,1,2,1,1,1,1,1
40499_4_3,SMB,433,4,3,3,3,3,3,3,3,3
40499_4_4,SMB,380,4,3,3,4,4,4,5,4,5
40499_4_5,SPB,243,2,2,1,1,1,1,1,2,1
40499_4_6,LMB,207,2,1,1,1,2,1,1,0,0
40499_4_7,SMB,277,2,2,1,2,2,2,1,1,1
40499_4_8,SPB,246,1,1,1,2,1,1,1,1,1
