ID,finrays_Brenden,finrays_Hale,finrays_Staples,majority,consensus,final
134,5,5,5,5,NA,5
135,4,4,4,4,NA,4
136,4,4,4,4,NA,4
137,2,2,2,2,NA,2
138,4,4,4,4,NA,4
139,2,2,2,2,NA,2
140,2,4,2,2,NA,2
141,2,3,2,2,NA,2
142,2,3,1,NA,2,2
144,2,5,2,2,NA,2
145,2,5,2,2,NA,2
147,4,4,4,4,NA,4
148,4,6,4,4,NA,4
150,2,3,2,2,NA,2
153,2,4,2,2,NA,2
154,2,5,2,2,NA,2
156,2,5,2,2,NA,2
157,2,3,2,2,NA,2
159,2,3,1,NA,2,2
161,2,5,2,2,NA,2
163,6,6,6,6,NA,6
165,4,4,4,4,NA,4
166,3,3,3,3,NA,3
167,2,3,1,NA,2,2
169,2,6,2,2,NA,2
172,8,8,8,8,NA,8
173,5,6,5,5,NA,5
174,2,7,2,2,NA,2
176,2,4,2,2,NA,2
177,4,4,4,4,NA,4
178,NA,NA,NA,NA,NA,0
179,4,4,4,4,NA,4
181,8,7,7,7,NA,7
182,2,3,2,2,NA,2
196,4,4,4,4,NA,4
197,7,5,6,NA,7,7
204,3,5,3,3,NA,3
205,9,9,9,9,NA,9
206,3,3,3,3,NA,3
208,3,4,3,3,NA,3
209,3,3,3,3,NA,3
210,2,4,3,NA,3,3
212,3,3,3,3,NA,3
213,3,3,3,3,NA,3
214,2,4,2,2,NA,2
217,3,3,3,3,NA,3
218,2,5,2,2,NA,2
219,2,3,2,2,NA,2
220,3,3,3,3,NA,3
221,2,3,2,2,NA,2
222,2,5,2,2,NA,2
223,11,10,7,NA,NA,NA
226,2,3,2,2,NA,2
227,2,6,2,2,NA,2
228,2,5,2,2,NA,2
230,3,3,2,3,NA,3
231,3,6,3,3,NA,3
234,2,5,2,2,NA,2
235,2,6,2,2,NA,2
236,3,6,3,3,NA,3
237,6,5,5,5,NA,5
238,11,9,8,NA,9,9
240,2,7,2,2,NA,2
242,2,5,2,2,NA,2
248,4,6,4,4,NA,4
249,2,5,2,2,NA,2
258,4,6,4,4,NA,4
271,7,6,6,NA,7,7
272,4,6,4,4,NA,4
273,3,5,3,3,NA,3
274,3,8,3,3,NA,3
275,4,4,4,4,NA,4
276,4,5,3,NA,5,5
277,4,4,4,4,NA,4
278,2,3,2,2,NA,2
282,10,7,10,10,NA,10
283,3,3,3,3,NA,3
284,9,8,8,NA,9,9
285,4,4,4,4,NA,4
287,3,3,3,3,NA,3
288,7,7,7,7,NA,7
289,3,3,3,3,NA,3
290,3,4,3,3,NA,3
291,3,3,3,3,NA,3
292,3,2,2,2,NA,2
293,4,4,4,4,NA,4
294,3,3,3,3,NA,3
295,2,3,1,NA,2,2
296,9,9,8,9,NA,9
298,3,3,3,3,NA,3
299,2,3,2,2,NA,2
300,3,3,3,3,NA,3
301,2,3,1,NA,2,2
305,6,5,4,NA,6,6
307,6,6,5,6,NA,6
308,4,6,3,NA,4,4
311,10,8,8,NA,10,10
314,7,5,6,NA,7,7
315,3,3,3,3,NA,3
163R,7,NA,NA,NA,NA,7
37-1,5,4,4,4,NA,4
1521-1,4,NA,4,4,NA,4
