id,species,locyr,tl,wt,scale_1,scale_2,scale_3,otolith_1,otolith_2,otolith_3
1018,LMB,Hargus_2014,167,50,1,1,1,1,1,1
1019,LMB,Hargus_2014,125,20,1,1,1,1,1,1
1020,LMB,Hargus_2014,342,503,7,7,4,7,5,5
1021,LMB,Hargus_2014,316,369,5,4,5,5,3,3
1022,LMB,Hargus_2014,393,801,7,9,8,7,9,9
1023,LMB,Hargus_2014,297,267,3,3,5,3,3,3
1024,LMB,Hargus_2014,214,108,2,2,2,2,2,2
1025,LMB,Hargus_2014,177,59,1,2,1,1,1,1
1026,LMB,Hargus_2014,386,783,5,8,9,5,7,7
1027,LMB,Hargus_2014,178,50,1,2,1,1,1,1
1028,LMB,Hargus_2014,254,203,2,3,2,2,2,2
1029,LMB,Hargus_2014,405,878,6,6,7,6,7,7
1030,LMB,Hargus_2014,184,74,1,2,1,1,1,1
1031,LMB,Hargus_2014,442,1075,9,11,9,9,9,9
1032,LMB,Hargus_2014,484,1767,8,9,9,8,7,7
1033,LMB,Hargus_2014,485,1491,7,10,7,7,10,10
1034,LMB,Hargus_2014,368,657,6,8,5,6,5,5
1035,LMB,Hargus_2014,453,1453,7,11,8,7,9,9
1036,LMB,Hargus_2014,521,2162,6,9,10,6,11,11
1037,LMB,Hargus_2014,439,1199,7,8,8,7,7,7
1038,LMB,Hargus_2014,136,27,1,1,1,1,1,1
1040,LMB,Hargus_2014,523,2253,8,10,8,8,12,12
1041,LMB,Hargus_2014,362,618,4,5,5,4,6,6
1042,LMB,Hargus_2014,185,65,1,2,1,1,1,1
1043,LMB,Hargus_2014,193,67,2,2,2,2,2,2
1044,LMB,Hargus_2014,181,59,1,2,1,1,1,1
1050,LMB,Hargus_2014,238,144,2,3,2,2,2,2
1051,LMB,Hargus_2014,393,905,5,5,5,5,5,5
1052,LMB,Hargus_2014,232,138,2,2,2,2,2,2
1053,LMB,Hargus_2014,163,36,1,2,1,1,1,1
1054,LMB,Hargus_2014,498,1918,10,10,10,10,9,9
1055,LMB,Hargus_2014,300,NA,3,5,3,3,3,3
1056,LMB,Hargus_2014,335,NA,2,3,2,2,2,2
1057,LMB,Hargus_2014,217,108,2,3,2,2,2,2
1058,LMB,Hargus_2014,309,287,5,4,4,5,4,4
1059,LMB,Hargus_2014,248,149,2,3,2,2,2,2
1060,LMB,Hargus_2014,329,395,4,5,6,4,4,4
1061,LMB,Hargus_2014,363,702,5,7,6,5,7,7
1062,LMB,Hargus_2014,375,695,4,5,5,4,6,6
1063,LMB,Hargus_2014,245,176,2,3,2,2,2,2
1064,LMB,Hargus_2014,267,171,3,3,3,3,3,3
1065,LMB,Hargus_2014,373,668,4,6,5,4,5,5
1066,LMB,Hargus_2014,501,1850,8,8,9,8,10,10
1067,LMB,Hargus_2014,260,211,2,3,2,2,2,2
1068,LMB,Hargus_2014,252,189,3,3,2,3,2,3
1069,LMB,Hargus_2014,127,23,1,1,1,1,1,1
1070,LMB,Hargus_2014,170,49,1,1,1,1,1,1
1071,LMB,Hargus_2014,354,506,4,5,5,4,5,5
1072,LMB,Hargus_2014,375,576,5,6,7,5,6,6
1073,LMB,Hargus_2014,414,950,5,7,5,5,5,5
1074,LMB,Hargus_2014,385,923,4,7,6,4,5,NA
1076,LMB,Hargus_2014,328,372,3,4,5,3,5,5
1077,LMB,Hargus_2014,278,251,3,3,4,3,2,3
1078,LMB,Hargus_2014,285,274,4,3,4,4,5,5
1079,LMB,Hargus_2014,158,37,1,1,1,1,1,1
1080,LMB,Hargus_2014,151,35,1,1,1,1,1,1
1081,LMB,Hargus_2014,226,132,2,3,2,2,2,2
1082,LMB,Hargus_2014,291,302,3,4,3,3,3,3
1083,LMB,Hargus_2014,219,100,2,3,2,2,2,2
1084,LMB,Hargus_2014,320,374,5,5,4,5,7,7
1085,LMB,Hargus_2014,122,21,1,1,1,1,1,1
1086,LMB,Hargus_2014,314,374,3,4,6,3,3,3
1087,LMB,Hargus_2014,335,448,4,5,6,4,5,5
1088,LMB,Hargus_2014,302,279,3,3,4,3,5,5
1089,LMB,Hargus_2014,226,134,2,3,2,2,2,2
1090,LMB,Hargus_2014,291,243,4,4,5,4,3,3
1091,LMB,Hargus_2014,205,94,2,2,2,2,2,2
1092,LMB,Hargus_2014,333,371,5,5,6,5,5,5
1093,LMB,Hargus_2014,160,45,1,1,1,1,1,1
1094,LMB,Hargus_2014,135,22,1,1,1,1,1,1
1095,LMB,Hargus_2014,383,726,7,6,5,7,7,7
1096,LMB,Hargus_2014,470,1433,9,11,10,9,9,9
1097,LMB,Hargus_2014,382,740,4,4,6,4,5,5
1098,LMB,Hargus_2014,337,455,5,5,5,5,4,4
1099,LMB,Hargus_2014,356,NA,NA,7,5,5,10,10
1046,LMB,Kiser_2014,334,449,5,4,6,5,5,5
1048,LMB,Kiser_2014,371,650,6,5,8,7,7,7
1049,LMB,Kiser_2014,336,468,4,4,6,5,5,5
1100,LMB,Kiser_2014,342,492,7,4,7,7,7,7
1101,LMB,Kiser_2014,337,474,4,4,6,4,5,5
1102,LMB,Kiser_2014,357,538,6,5,8,8,8,8
1103,LMB,Kiser_2014,413,991,8,5,12,8,8,8
1104,LMB,Kiser_2014,290,320,3,3,4,3,3,3
1105,LMB,Kiser_2014,308,397,5,4,4,4,4,4
1106,LMB,Kiser_2014,293,316,3,3,4,3,3,3
1107,LMB,Kiser_2014,308,352,4,4,4,4,4,4
1108,LMB,Kiser_2014,325,425,6,4,8,6,6,6
1109,LMB,Kiser_2014,322,411,3,3,5,4,4,4
1110,LMB,Kiser_2014,287,272,3,3,3,3,3,3
1111,LMB,Kiser_2014,312,401,4,4,6,4,4,4
1112,LMB,Kiser_2014,322,401,4,4,4,4,4,4
