id,tl,sl,otolith_R1,otolith_R2,scales_R1,scales_R2
176465,26,21.5,3,3,NA,NA
176512,26.2,22.5,3,3,4,3
176538,31.5,25,NA,NA,NA,NA
176545,32,24.5,3,3,NA,NA
176737,30.5,27.7,NA,NA,NA,NA
176926,23.6,22,3,3,3,3
177003,NA,18.9,3,3,2,2
177132,NA,23,3,3,3,3
177133,NA,24.5,3,3,NA,3
177139,NA,29.5,3,3,4,4
177140,29,24,4,3,3,3
177217,NA,22.5,3,3,3,3
177218,NA,21,3,3,2,3
177219,NA,21.6,3,3,3,2
177220,NA,23.5,3,3,3,3
177221,NA,25,3,3,3,3
177222,27.3,23,3,3,3,3
177223,25.3,21,3,3,3,3
177224,26.1,21.5,3,3,3,3
177235,32,26.5,3,3,2,3
177236,NA,22,3,3,2,2
177237,27,23,3,3,NA,NA
177279,49.5,40.5,NA,NA,NA,NA
177361,33.4,28.3,3,3,NA,NA
177386,NA,21.8,3,3,NA,NA
177411,45.3,37.4,6,6,5,5
177433,NA,23,3,3,3,3
177434,26.5,21.5,3,4,2,3
177435,NA,21.5,3,3,2,2
177468,49,41.5,3,3,6,6
177470,30,25,3,3,3,3
177512,28,23.5,3,2,NA,NA
177513,NA,23.5,4,3,3,3
177514,28.5,NA,NA,NA,NA,NA
177524,30.3,25.5,4,4,NA,NA
177525,29.8,25,3,3,NA,NA
177539,NA,23.5,3,3,3,3
177541,NA,26.5,3,3,2,3
177542,30.3,25.5,3,3,3,3
177543,29.8,25,3,3,3,3
177544,NA,23.5,3,4,3,3
177545,NA,23.5,3,3,NA,NA
177588,33,28.5,3,3,3,3
177782,27.7,23.5,NA,NA,3,3
177783,29.2,26.5,3,3,3,3
177866,25.4,21,3,3,3,3
177869,NA,23,NA,NA,2,3
177874,NA,21.5,3,3,2,3
177875,24.9,20.5,3,3,4,3
177876,29.2,24.5,3,3,3,3
177877,29.9,24,3,3,3,3
177878,29.8,23.5,3,3,3,3
177879,28.5,23.5,3,3,3,3
177964,NA,25,3,3,4,3
177967,32,NA,3,3,4,3
178045,27.1,22.2,3,3,3,3
178046,27.9,23.4,4,3,3,3
178047,30.2,24,3,3,3,3
178048,28.2,23.4,3,3,NA,NA
178049,NA,23.2,3,3,3,3
178050,NA,26.5,NA,NA,3,3
178052,NA,25.5,3,3,3,3
178053,28.8,23.5,3,3,3,3
178054,NA,26,3,3,4,3
178137,NA,23.5,3,3,3,3
178144,28.9,24,3,3,3,3
178145,27.5,23.5,NA,NA,3,3
178227,27.6,22.5,NA,NA,NA,NA
178311,28.5,23.5,4,3,3,3
178313,26.7,22.5,3,3,4,3
178376,29.5,24,3,3,NA,NA
178614,NA,21,4,4,3,2
178645,26.5,22,4,3,3,3
178646,NA,23.5,3,NA,3,3
178647,29,24,3,3,3,3
178846,25.6,21,3,3,2,2
178956,29.8,24.5,3,3,3,2
178957,NA,22.5,3,3,NA,NA
178958,NA,22.5,3,3,3,3
178959,27.5,23,3,3,3,3
178960,NA,21.5,4,4,3,3
178990,24.9,20.5,3,3,3,2
178991,25.5,22,4,3,3,2
178992,27.5,21.5,3,3,5,3
179006,NA,23,3,4,3,3
179015,27.9,22,3,3,2,3
179016,NA,21,4,4,3,3
179097,34.5,28.5,3,3,4,3
179515,30,26.5,NA,NA,NA,NA
180016,27.3,23.5,4,4,NA,NA
180017,29.2,24.5,NA,NA,NA,NA
180018,27.5,23.3,3,3,3,4
180187,NA,27,5,5,3,3
180188,28.5,24.5,3,4,3,4
180189,NA,27.5,4,4,3,3
180241,28.3,24,3,3,3,3
180329,NA,35.5,7,6,5,5
180345,NA,27.5,4,5,4,4
180346,26.8,22.4,4,3,3,3
180364,29.5,NA,4,4,3,3
180433,27,NA,4,4,4,4
180434,NA,26.5,NA,NA,5,5
180435,31,25.5,4,4,4,4
180436,36.5,30,6,6,5,4
180437,31,26,4,4,3,4
180438,NA,25.4,NA,NA,3,4
180440,NA,29.8,4,4,4,4
180441,26,21,4,4,3,3
180472,NA,24.6,3,3,NA,NA
180473,29.4,23.2,3,4,3,3
180474,29,23.2,3,3,3,3
180477,29.9,24.4,NA,NA,4,4
180478,32,26.4,4,4,NA,NA
180526,30,24.5,4,4,3,3
180582,27.2,22.1,4,3,3,3
180583,25,20.5,3,3,3,3
180587,NA,23.5,NA,3,NA,NA
180588,27,22.5,3,3,NA,NA
180592,NA,21.6,3,3,4,3
180622,26,20.6,3,3,3,3
180623,29,22.6,3,3,2,3
180624,25.6,20.4,4,3,4,3
180627,28.6,22.8,4,4,4,4
180628,26.9,20.7,4,4,4,3
180686,28,23.2,4,4,4,4
180693,NA,24,4,4,3,3
180694,NA,24.5,4,3,4,4
180732,NA,19,4,4,3,2
180840,NA,21.5,4,4,3,3
180841,NA,22,4,4,3,4
180842,NA,23,3,3,NA,NA
180843,NA,21.5,3,4,3,3
180844,NA,24,NA,NA,NA,NA
180845,30.5,25.2,NA,NA,NA,NA
180846,NA,23,5,4,3,3
180847,NA,21.5,4,4,NA,NA
180853,28.5,22.6,4,4,3,4
180854,NA,21,4,4,NA,NA
180855,NA,22.3,4,4,4,3
180861,28,NA,NA,NA,NA,NA
180862,NA,23.5,4,4,3,3
180869,NA,13.2,NA,NA,NA,NA
180870,NA,13.6,NA,NA,NA,NA
180871,NA,13.5,NA,NA,NA,NA
180872,NA,14,NA,NA,NA,NA
180874,NA,24,4,3,3,3
180980,NA,21.5,4,4,4,3
181026,24,18.5,NA,NA,3,2
181066,32.1,26,3,4,3,4
181095,31,NA,5,4,3,3
181097,30.8,24,4,4,4,4
181164,NA,21,3,3,3,3
181165,NA,22.5,3,3,3,3
181166,NA,22.5,4,4,2,NA
181167,NA,23.5,4,4,3,3
181168,NA,22,4,4,3,3
181169,NA,23,3,3,4,3
181170,NA,22.5,4,4,3,3
181171,NA,23.5,4,4,2,2
181172,NA,23.5,4,4,3,3
181173,NA,21,4,NA,3,3
181174,NA,23.5,4,4,4,4
181175,NA,20.5,4,4,2,3
181327,NA,23,5,4,4,3
181350,29.5,24,3,3,3,4
181351,37,29.5,4,4,5,5
181355,26.5,20,4,4,3,3
181356,28.5,23,4,4,4,4
181365,NA,24.5,4,4,3,3
181366,25.5,19.8,4,4,3,3
181654,28,23,4,4,NA,NA
181655,26.5,21.5,4,4,NA,NA
181689,26.5,22,4,4,NA,NA
181710,44.5,40,7,6,NA,NA
181769,NA,21,4,3,NA,NA
182490,40,32.5,6,7,NA,NA
182491,NA,26.5,4,4,NA,NA
182501,NA,29.5,4,4,5,5
182556,NA,37.5,4,5,5,6
182632,31,25,4,3,4,4
182633,30,23.5,5,4,3,3
182634,30.5,24.6,4,4,4,3
182635,29,23.6,4,4,3,3
182636,30.5,24.2,3,3,4,4
182667,42.5,35.4,7,6,6,6
182668,34,27.5,4,4,3,4
182711,51,45,4,4,6,6
182714,36,29,4,4,3,4
