id,tl,loc,scales_Steve,scales_Angie,scales_Reid,finrays_Steve,finrays_Angie,finrays_Reid,spines_Steve,spines_Angie,spines_Reid
2006_DT_002,26,Dewart,0,0,1,0,1,1,1,1,1
2006_DT_003,28,Dewart,0,0,NA,0,1,1,1,1,1
2006_DT_007,32,Dewart,0,0,1,1,3,4,1,1,1
2006_DT_009,38,Dewart,0,1,1,0,2,2,1,1,2
2006_DT_010,50,Dewart,1,0,3,1,2,2,3,3,3
2006_DT_011,53,Dewart,1,2,4,1,2,1,2,2,3
2006_DT_012,56,Dewart,3,4,4,1,2,2,1,2,2
2006_DT_013,57,Dewart,1,3,3,1,8,3,1,1,1
2006_DT_014,59,Dewart,2,4,5,1,2,2,1,2,2
2006_DT_016,63,Dewart,2,2,4,2,4,4,1,1,2
2006_DT_019,64,Dewart,2,2,5,1,1,4,1,1,2
2006_DT_023,67,Dewart,2,2,6,2,2,3,1,2,2
2006_DT_025,69,Dewart,2,2,5,1,3,3,1,2,3
2006_DT_041,78,Dewart,1,2,6,0,2,0,1,1,3
2006_DT_044,80,Dewart,1,2,6,2,2,2,2,2,3
2006_DT_047,81,Dewart,3,5,5,2,4,4,2,3,3
2006_DT_054,88,Dewart,3,3,5,2,3,3,2,4,4
2006_DT_057,91,Dewart,2,2,6,2,4,3,2,2,2
2006_DT_064,96,Dewart,5,5,6,4,4,6,4,4,4
2006_DT_070,100,Dewart,2,NA,NA,2,4,4,2,2,4
2006_DT_072,102,Dewart,4,6,8,2,2,3,4,4,4
2006_DT_073,102,Dewart,4,5,8,3,3,3,3,3,3
2006_DT_075,105,Dewart,3,6,7,3,2,3,3,3,4
2006_DT_078,106,Dewart,4,5,6,2,2,3,3,6,6
2006_DT_080,106,Dewart,4,3,6,3,3,3,3,5,4
2006_DT_087,109,Dewart,5,7,7,3,3,4,4,4,4
2006_DT_092,111,Dewart,5,4,9,5,4,5,4,5,5
2006_DT_095,112,Dewart,5,4,9,3,4,4,4,4,5
2006_DT_106,118,Dewart,5,3,7,1,2,0,3,3,3
