id,finrays_R1,finrays_R2,branchio_R1,branchio_R2,otoliths_R1,otoliths_R2
118,4,4,5,5,7,8
120,7,7,7,7,7,8
121,4,5,5,5,5,5
122,3,3,3,2,3,4
123,2,2,2,2,3,3
124,6,7,7,7,7,8
125,2,1,1,1,1,1
127,4,4,4,4,4,4
128,12,14,14,14,14,14
130,7,7,8,8,9,9
