tl,sex,otoliths_R3_1,otoliths_R3_2,otoliths_R1,otoliths_R2
164,F,4,4,NA,NA
130,F,3,3,NA,NA
162,F,4,4,NA,NA
180,-,6,6,NA,NA
155,M,4,4,NA,NA
160,M,3,3,NA,NA
140,F,2,2,NA,NA
193,M,6,6,NA,NA
174,M,3,3,NA,NA
165,F,4,4,NA,NA
183,M,5,5,NA,NA
176,M,4,4,NA,NA
190,M,5,5,5,5
168,F,4,5,NA,NA
171,M,5,5,NA,NA
170,M,4,4,4,4
175,M,5,5,4,5
175,M,4,4,NA,NA
188,M,4,4,4,4
141,F,3,3,NA,NA
158,F,4,4,NA,NA
160,F,4,4,NA,NA
169,M,4,4,NA,NA
136,F,3,3,NA,NA
159,F,4,4,NA,NA
157,M,4,4,NA,NA
159,M,3,3,NA,NA
168,F,4,4,4,4
179,M,4,4,NA,NA
180,M,5,5,NA,NA
150,F,3,3,NA,NA
175,M,5,5,NA,NA
172,M,4,4,NA,NA
161,M,3,3,NA,NA
174,M,5,5,NA,NA
183,M,5,5,5,6
179,M,5,5,NA,NA
168,M,4,4,NA,NA
165,F,4,4,4,4
167,M,3,3,NA,NA
159,F,4,3,NA,NA
153,F,3,3,NA,NA
144,F,3,3,NA,NA
148,F,4,4,NA,NA
148,F,3,3,NA,NA
165,F,4,4,NA,NA
164,F,4,4,NA,NA
161,F,5,5,NA,NA
167,F,4,3,NA,NA
190,M,5,5,NA,NA
193,M,5,5,NA,NA
164,F,4,4,NA,NA
183,M,6,6,NA,NA
149,F,3,3,NA,NA
191,M,4,4,NA,NA
170,F,6,6,6,5
151,F,4,4,NA,NA
160,F,4,4,NA,NA
163,M,4,4,NA,NA
154,F,4,4,NA,NA
141,F,3,3,NA,NA
150,F,3,4,NA,NA
134,F,3,3,NA,NA
125,M,3,3,NA,NA
118,F,3,2,NA,NA
158,F,4,4,NA,NA
126,M,2,2,NA,NA
168,M,4,4,NA,NA
175,M,5,6,6,6
169,F,5,5,NA,NA
156,F,4,4,NA,NA
165,M,3,3,NA,NA
172,M,3,3,3,3
173,M,3,4,4,4
150,F,4,4,NA,NA
158,F,4,4,NA,NA
157,F,4,4,NA,NA
179,M,4,5,NA,NA
172,F,4,5,NA,NA
164,F,3,3,NA,NA
171,F,4,4,NA,NA
185,M,4,4,NA,NA
152,M,3,3,NA,NA
148,F,3,3,3,3
176,M,4,4,NA,NA
173,M,5,5,4,5
179,F,5,5,5,5
166,M,4,4,NA,NA
180,F,6,6,NA,NA
197,M,6,6,6,6
162,F,3,3,4,4
164,F,4,4,NA,NA
159,F,4,3,3,3
166,M,4,4,NA,NA
162,M,4,4,NA,NA
171,M,4,4,NA,NA
159,M,3,3,NA,NA
157,F,3,3,3,3
163,F,3,4,4,4
121,M,3,3,2,3
124,M,3,3,NA,NA
107,F,1,1,2,2
165,M,4,3,NA,NA
169,M,3,3,NA,NA
145,F,4,4,NA,NA
151,F,4,4,NA,NA
127,F,2,2,NA,NA
114,M,2,1,2,2
180,M,5,4,NA,NA
174,F,5,5,NA,NA
174,M,4,5,NA,NA
203,M,6,6,6,6
149,F,5,5,NA,NA
168,M,4,4,NA,NA
156,F,4,4,NA,NA
182,M,5,6,6,6
176,M,4,4,NA,NA
167,M,4,4,NA,NA
148,F,4,4,NA,NA
155,F,4,4,NA,NA
163,F,4,3,NA,NA
181,M,5,5,6,6
170,M,4,4,NA,NA
163,F,4,5,NA,NA
158,F,4,3,NA,NA
161,M,5,5,NA,NA
105,F,1,1,1,2
152,F,3,3,NA,NA
129,M,2,2,NA,NA
164,M,4,4,NA,NA
175,M,5,5,NA,NA
195,M,6,6,NA,NA
197,M,6,6,NA,NA
150,F,3,4,NA,NA
154,F,4,4,NA,NA
175,M,5,5,NA,NA
182,M,5,5,NA,NA
164,M,4,4,NA,NA
192,M,6,6,6,6
163,M,4,4,NA,NA
170,F,4,4,NA,NA
171,M,4,4,NA,NA
141,F,3,2,NA,NA
160,M,3,3,NA,NA
179,M,5,5,NA,NA
181,M,7,7,NA,NA
185,M,5,5,NA,NA
168,F,4,4,NA,NA
150,M,3,3,NA,NA
152,F,3,3,NA,NA
169,F,4,4,NA,NA
151,F,3,3,NA,NA
161,F,4,4,4,4
113,F,1,2,NA,NA
135,F,2,2,NA,NA
148,F,3,3,NA,NA
141,F,3,3,NA,NA
167,F,4,4,NA,NA
168,F,5,4,NA,NA
163,F,4,4,4,4
182,F,4,3,4,3
158,F,4,3,3,3
166,F,5,5,NA,NA
163,M,4,4,NA,NA
165,M,5,5,NA,NA
170,M,6,6,NA,NA
165,M,4,3,NA,NA
167,M,5,5,NA,NA
152,F,3,3,NA,NA
164,F,4,4,NA,NA
119,F,2,2,2,2
203,M,6,7,NA,NA
177,F,4,4,NA,NA
157,F,3,3,NA,NA
166,M,4,4,NA,NA
160,M,4,3,NA,NA
161,F,3,3,NA,NA
167,F,4,5,6,5
164,F,4,4,NA,NA
157,M,3,3,NA,NA
168,F,5,5,NA,NA
169,F,6,5,NA,NA
168,F,4,4,NA,NA
163,M,4,4,NA,NA
172,F,5,5,5,5
165,F,4,4,4,4
161,M,4,5,NA,NA
155,F,5,5,NA,NA
162,F,5,5,NA,NA
174,F,5,5,NA,NA
173,M,5,5,NA,NA
165,F,5,5,NA,NA
165,F,4,4,NA,NA
183,M,5,5,NA,NA
197,M,5,5,5,5
155,F,6,4,NA,NA
180,M,5,5,NA,NA
173,F,4,4,NA,NA
195,M,5,6,6,6
170,F,5,4,NA,NA
179,F,5,5,NA,NA
160,F,4,4,NA,NA
156,F,3,3,NA,NA
164,F,4,4,NA,NA
164,M,4,5,NA,NA
171,F,4,5,NA,NA
145,F,3,3,NA,NA
207,M,7,7,NA,NA
204,M,7,6,6,6
198,M,7,7,NA,NA
181,M,5,4,NA,NA
205,F,5,5,NA,NA
180,-,5,5,NA,NA
176,M,6,6,NA,NA
159,F,3,3,NA,NA
155,F,4,4,NA,NA
164,F,4,4,NA,NA
166,M,5,5,NA,NA
151,M,3,3,NA,NA
190,M,5,5,NA,NA
183,M,5,5,5,5
171,M,5,5,NA,NA
174,M,5,5,5,5
149,M,3,3,NA,NA
159,F,4,4,NA,NA
152,M,4,4,NA,NA
176,M,4,4,6,4
128,F,2,2,NA,NA
143,F,3,3,NA,NA
145,F,2,3,3,3
188,M,6,6,NA,NA
175,M,4,4,NA,NA
178,M,6,6,NA,NA
164,F,5,5,NA,NA
172,M,5,5,NA,NA
192,M,6,6,NA,NA
160,F,5,5,NA,NA
151,F,4,4,NA,NA
153,F,4,4,NA,NA
152,F,4,4,NA,NA
162,F,4,4,NA,NA
171,M,5,4,NA,NA
166,M,5,5,NA,NA
127,M,2,2,2,2
175,M,4,4,NA,NA
170,M,3,4,4,4
161,M,4,4,NA,NA
166,M,4,4,NA,NA
200,M,6,6,NA,NA
170,M,5,5,NA,NA
176,M,6,6,NA,NA
187,F,5,5,NA,NA
157,F,4,4,NA,NA
203,M,6,7,7,7
172,M,5,5,NA,NA
174,F,4,5,NA,NA
155,F,4,4,NA,NA
164,M,4,4,NA,NA
202,M,6,6,NA,NA
186,M,6,6,NA,NA
166,M,5,5,NA,NA
190,M,5,6,NA,NA
154,F,3,4,NA,NA
166,F,5,5,NA,NA
171,M,4,4,NA,NA
199,M,3,5,NA,NA
177,M,4,4,NA,NA
178,M,5,5,NA,NA
178,M,5,4,NA,NA
165,F,4,4,5,5
166,M,4,4,4,5
156,F,3,3,NA,NA
168,M,4,4,NA,NA
159,M,4,4,NA,NA
153,F,3,3,NA,NA
165,F,4,4,NA,NA
168,M,4,4,NA,NA
150,F,3,3,NA,NA
162,F,4,4,NA,NA
152,F,3,3,NA,NA
